SwiftName,name,ra,dec,time,obsid,status,exposure_a,observation_mode,public_date,issue_flag,end_time,_Search_Offset
SWIFTJ2209.4-4711,NGC7213                    ,22 09 16.1,-47 11 23,2014-10-05 11:31:07,60001031002,archived ,    101612,SCIENCE         , 2015-09-17,         0,2014-10-07 13:21:07,"    1.386 (332.31755,-47.166696)"
SWIFTJ2211.7+1843,PG_2209p184                ,22 11 49.2,+18 40 20,2017-11-23 15:41:09,60301015002,archived ,    101879,SCIENCE         , 2018-12-02,         0,2017-11-25 22:06:09,"   1.864 (332.974532,18.6971891)"
SWIFTJ2214.2-2557,2MASXJ22140917m2557487     ,22 14 09.2,-25 57 49,                   ,60160784,accepted ,    -20000,                ,           ,          ,                   ,"   0.014 (333.538257,-25.963728)"
SWIFTJ2217.0+1413,Mrk304                     ,22 17 12.3,+14 14 21,                   ,60160785,accepted ,    -20000,                ,           ,          ,                   ,"   0.002 (334.301105,14.2391405)"
SWIFTJ2219.7+2614,2MASXJ22194971p2613277     ,22 19 49.8,+26 13 28,                   ,60160786,accepted ,    -20000,                ,           ,          ,                   ,"     0.003 (334.9573,26.2244447)"
SWIFTJ2223.9-0207,3C445                      ,22 23 52.2,-02 04 50,2016-05-15 19:06:08,60160788002,archived ,     19930,SCIENCE         , 2016-05-20,         0,2016-05-16 06:01:08,"   1.541 (335.956423,-2.1035701)"
SWIFTJ2226.8+3628,MCGp06_49_019              ,22 27 03.3,+36 20 19,2014-11-29 18:11:07,60061311002,archived ,     21365,SCIENCE         , 2015-09-17,         0,2014-11-30 05:46:07,"   1.471 (336.774045,36.3615834)"
SWIFTJ2229.9+6646,IGRJ22292p6647             ,22 29 50.6,+66 45 54,2023-03-27 06:16:09,60160790002,archived ,     32454,SCIENCE         , 2023-04-10,         0,2023-03-27 18:21:09,"   3.742 (337.307752,66.7809666)"
SWIFTJ2229.9+6646,IGRJ22292p6647             ,22 30 03.4,+66 45 41,2023-03-27 05:46:09,60160790001,archived ,       422,SCIENCE         , 2023-04-10,         0,2023-03-27 06:16:09,"   5.025 (337.307752,66.7809666)"
SWIFTJ2229.7-0831,PKS2227m088                ,22 29 40.1,-08 32 54,                   ,60160791,accepted ,    -20000,                ,           ,          ,                   ,"   0.003 (337.417018,-8.5484512)"
SWIFTJ2232.5+1141,CTA_102                    ,22 32 34.7,+11 42 50,2016-12-30 12:56:08,90202044002,archived ,     26205,SCIENCE         , 2017-01-10,         0,2016-12-31 05:26:08,"    1.107 (338.151714,11.730796)"
SWIFTJ2234.8-2542,ESO533_50                  ,22 34 50.7,-25 38 49,2019-05-16 10:41:09,60061312002,archived ,     22957,SCIENCE         , 2019-06-06,         0,2019-05-16 22:26:09,"    1.814 (338.70762,-25.676951)"
SWIFTJ2235.9-2602,NGC_7314                   ,22 35 48.5,-26 01 35,2016-05-13 12:21:08,60201031002,archived ,    100422,SCIENCE         , 2017-05-20,         0,2016-05-15 18:51:08,"   1.525 (338.942507,-26.050436)"
SWIFTJ2235.9+3358,NGC7319_Stephan            ,22 35 52.5,+33 58 01,2017-09-27 15:56:09,60261005002,archived ,     41883,SCIENCE         , 2017-10-06,         1,2017-09-28 14:21:09,"   2.351 (339.014923,33.9758366)"
SWIFTJ2235.9+3358,NGC7319_Stephan            ,22 35 59.6,+33 57 35,2012-11-09 14:01:07,60061313002,archived ,     14737,SCIENCE         , 2015-03-31,         0,2012-11-09 21:16:07,"   1.277 (339.014923,33.9758366)"
SWIFTJ2237.0+2543,IC5233                     ,22 36 32.9,+25 45 48,                   ,60161796,accepted ,    -20000,                ,           ,          ,                   ,"   0.003 (339.137003,25.7631543)"
SWIFTJ2236.7-1233,Mrk915                     ,22 36 43.4,-12 34 11,2014-12-07 06:51:07,60002060004,archived ,     54249,SCIENCE         , 2016-01-11,         1,2014-12-08 12:46:07,"   1.641 (339.193721,-12.545223)"
SWIFTJ2236.7-1233,Mrk915                     ,22 36 44.0,-12 34 03,2014-12-02 13:56:07,60002060002,archived ,     52977,SCIENCE         , 2016-01-11,         0,2014-12-03 18:46:07,"   1.477 (339.193721,-12.545223)"
SWIFTJ2236.7-1233,Mrk915                     ,22 36 44.8,-12 34 44,2014-12-12 12:41:07,60002060006,archived ,     50678,SCIENCE         , 2016-01-11,         1,2014-12-13 17:01:07,"   2.064 (339.193721,-12.545223)"
SWIFTJ2240.2+0801,MCGp01m57m016              ,22 40 17.2,+08 02 25,2014-11-18 11:06:07,60061343002,archived ,     21366,SCIENCE         , 2015-09-17,         0,2014-11-18 22:46:07,"    0.802 (340.071133,8.0537689)"
SWIFTJ2242.4-3711,SWIFT_J2242d4m3711         ,22 42 37.3,-37 09 52,2016-05-25 20:46:08,60201039002,archived ,     36317,SCIENCE         , 2017-06-04,         0,2016-05-26 15:21:08,"   1.481 (340.639112,-37.185442)"
SWIFTJ2242.4-3711,ESO406mG004                ,22 42 41.2,-37 08 42,2020-06-26 12:06:09,60161799002,archived ,     23719,SCIENCE         , 2020-07-03,         0,2020-06-27 00:06:09,"   2.884 (340.639112,-37.185442)"
SWIFTJ2243.2-4539,2MASXJ22422135m4539093     ,22 42 22.5,-45 37 47,2017-05-02 15:41:09,60160800002,archived ,     23253,SCIENCE         , 2017-05-19,         0,2017-05-03 02:31:09,"   1.393 (340.588956,-45.652581)"
SWIFTJ2246.0+3941,3C452                      ,22 45 58.2,+39 42 16,2017-05-01 00:56:09,60261004002,archived ,     51814,SCIENCE         , 2017-05-11,         0,2017-05-02 03:51:09,"   2.083 (341.453007,39.6877556)"
SWIFTJ2248.8+1725,2MASXJ22484430p1727034     ,22 48 44.3,+17 27 03,                   ,60161803,accepted ,    -20000,                ,           ,          ,                   ,"   0.004 (342.184758,17.4509405)"
SWIFTJ2250.7-0854,2MASXJ22505170m0854572     ,22 50 51.7,-08 54 57,                   ,60160804,accepted ,    -20000,                ,           ,          ,                   ,"   0.005 (342.715478,-8.9157826)"
SWIFTJ2251.9+2215,MG3J225155p2217            ,22 51 58.3,+22 19 27,2020-05-06 05:41:09,60160805002,archived ,     45751,SCIENCE         , 2020-05-18,         0,2020-05-07 06:31:09,"   2.135 (342.972916,22.2937405)"
SWIFTJ2251.8-3210,1RXSJ225146d9m320614       ,22 51 47.3,-32 06 14,                   ,60160806,accepted ,    -20000,                ,           ,          ,                   ,"   0.046 (342.946381,-32.104375)"
SWIFTJ2253.9+1608,3C_454d3                   ,22 54 07.9,+16 11 29,2023-05-01 20:06:09,60802038002,archived ,     40179,SCIENCE         , 2023-11-22,         0,2023-05-02 18:26:09,"   3.555 (343.490612,16.1482502)"
SWIFTJ2253.9+1608,3C_454d3                   ,22 54 06.4,+16 11 30,2023-05-12 18:06:09,60802038008,archived ,     22996,SCIENCE         , 2023-11-22,         0,2023-05-13 06:31:09,"   3.332 (343.490612,16.1482502)"
SWIFTJ2253.9+1608,3C_454d3                   ,22 54 07.4,+16 11 19,2023-05-04 05:56:09,60802038004,archived ,     22411,SCIENCE         , 2023-11-22,         0,2023-05-04 18:51:09,"   3.350 (343.490612,16.1482502)"
SWIFTJ2253.9+1608,3C454d3                    ,22 54 02.6,+16 11 24,2022-06-13 11:06:09,60701034002,archived ,     20780,SCIENCE         , 2023-06-20,         0,2022-06-13 22:06:09,"   2.754 (343.490612,16.1482502)"
SWIFTJ2253.9+1608,3C_454d3                   ,22 54 06.4,+16 11 30,2023-05-07 07:56:09,60802038006,archived ,     20649,SCIENCE         , 2023-11-22,         0,2023-05-07 20:31:09,"   3.327 (343.490612,16.1482502)"
