id,nustar_obsid
SWIFTJ0521.0-2522,60201022002
SWIFTJ1835.0+3240,60202015004
SWIFTJ1835.0+3240,60202015006
SWIFTJ0501.9-3239,60201046001
SWIFTJ0501.9-3239,60201046002
SWIFTJ1835.0+3240,60202015008
SWIFTJ1835.0+3240,60202015010
SWIFTJ1157.8+5529,60201050002
SWIFTJ1023.5+1952,60202002002
SWIFTJ2304.8-0843,60201029002
SWIFTJ0924.2-3141,30201014002
SWIFTJ1023.5+1952,60202002004
SWIFTJ1023.5+1952,60202002006
SWIFTJ1023.5+1952,60202002008
SWIFTJ1023.5+1952,60202002010
SWIFTJ1023.5+1952,60202002012
SWIFTJ1139.0-3743,80202006002
SWIFTJ1139.0-3743,80202006004
SWIFTJ0241.3-0816,60201056002
SWIFTJ2134.9-2729,60363005002
SWIFTJ2325.5-3827,80101001002
SWIFTJ0226.4-2821,60363002002
SWIFTJ1229.1+0202,10302020002
SWIFTJ1825.7+7215,60301013002
SWIFTJ0242.0+0516,60363003002
SWIFTJ0413.8+1112,60301011002
SWIFTJ1836.9-5924,60301028002
SWIFTJ1132.7+5301,60301031002
SWIFTJ1205.8+4959,60301012002
SWIFTJ0010.5+1057,60301014002
SWIFTJ1145.6-1819,60302002002
SWIFTJ1145.6-1819,60302002004
SWIFTJ1145.6-1819,60302002006
SWIFTJ1145.6-1819,60302002008
SWIFTJ1145.6-1819,60302002010
SWIFTJ0051.9+1724,60160028002
SWIFTJ1506.7+0353B,60301023002
SWIFTJ0426.2-5711,60402006002
SWIFTJ0130.0-4218,60468001002
SWIFTJ1031.5-4205,60468002002
SWIFTJ1033.8+5257,60468003002
SWIFTJ1131.9-1233,60401001002
SWIFTJ0420.0-5457,80301601002
SWIFTJ1229.1+0202,10402020006
SWIFTJ0006.2+2012,80201001002
SWIFTJ0917.2-6221,60401020002
SWIFTJ0230.2-0900,60401005002
SWIFTJ0230.2-0900,60401005002
SWIFTJ0230.2-0900,60401005002
SWIFTJ0324.8+3410,60402003002
SWIFTJ0324.8+3410,60402003004
SWIFTJ0324.8+3410,60402003006
SWIFTJ0324.8+3410,60402003008
SWIFTJ0324.8+3410,60402003010
SWIFTJ0324.8+3410,60402003012
SWIFTJ0420.0-5457,80401601002
SWIFTJ1203.0+4433,60401009002
SWIFTJ1203.0+4433,60401009002
SWIFTJ0426.2-5711,60402006004
SWIFTJ0127.5+1910,60402021002
SWIFTJ0127.5+1910,60402021004
SWIFTJ0127.5+1910,60402021006
SWIFTJ0127.5+1910,60402021008
SWIFTJ0127.5+1910,60402021010
SWIFTJ1001.8+2848,60160382002
SWIFTJ0945.6-1420,90501623002
SWIFTJ0420.0-5457,80502606002
SWIFTJ1229.1+0202,10502620002
SWIFTJ1419.0-2639,60502035002
SWIFTJ1419.0-2639,60502035004
SWIFTJ1419.0-2639,60502035006
SWIFTJ1419.0-2639,60502035008
SWIFTJ1419.0-2639,60502035010
SWIFTJ1800.3+6637,60561046002
SWIFTJ0807.9+3859,60561042002
SWIFTJ0623.8-3215,60561040002
SWIFTJ0030.0-5904,60561038002
SWIFTJ2325.5-3827,80502607002
SWIFTJ1023.5+1952,80502609002
SWIFTJ0925.0+5218,60502022002
SWIFTJ0925.0+5218,60502022002
SWIFTJ0105.5-4213,60561039002
SWIFTJ2307.9+2245,60561047002
SWIFTJ1023.5+1952,80502609004
SWIFTJ0934.7-2156,60561043002
SWIFTJ0959.5-2248,60561044002
SWIFTJ1225.8+1240,60501018002
SWIFTJ0304.1-0108,60501011002
SWIFTJ1429.2+0118,60501049002
SWIFTJ1253.5-4137,60561045001
SWIFTJ1253.5-4137,60561045002
SWIFTJ1253.5-4137,60561045004
SWIFTJ0656.4-4921,60561041002
SWIFTJ0925.0+5218,60502022004
SWIFTJ1106.5+7234,60160001002
SWIFTJ1144.1+3652,90601618002
SWIFTJ0456.3-7532,60601002002
SWIFTJ1229.1+0202,10602606002
SWIFTJ2346.8+5143,60160836002
SWIFTJ0742.5+4948,60601010004
SWIFTJ0742.5+4948,60601010004
SWIFTJ0955.5+6907,50611001002
SWIFTJ0955.5+6907,50611001002
SWIFTJ0955.5+6907,50611002002
SWIFTJ0955.5+6907,50611002002
SWIFTJ1313.6+3650B,60601023002
SWIFTJ2254.1-1734,90601637001
SWIFTJ2254.1-1734,90601637002
SWIFTJ1436.4+5846,60601007002
SWIFTJ1436.4+5846,60702008002
SWIFTJ1229.1+0202,10702608002
SWIFTJ1229.1+0202,10702608002
SWIFTJ0006.2+2012,60502006002
SWIFTJ0006.2+2012,60502006004
SWIFTJ0006.2+2012,60502006006
SWIFTJ0006.2+2012,60502006008
SWIFTJ0006.2+2012,60502006010
SWIFTJ1654.0+3946,60702062002
SWIFTJ1654.0+3946,60702062002
SWIFTJ1436.4+5846,60702008004
SWIFTJ1436.4+5846,60702008004
SWIFTJ1959.6+6507,60701045002
SWIFTJ0232.8+2020,10702609002
SWIFTJ0232.8+2020,10702609002
SWIFTJ1349.3-3018,60702050002
SWIFTJ1349.3-3018,60702050002
SWIFTJ1349.3-3018,60702050004
SWIFTJ1349.3-3018,60702050006
SWIFTJ1349.3-3018,60702050006
SWIFTJ1349.3-3018,60702050008
SWIFTJ1349.3-3018,60702050008
SWIFTJ1349.3-3018,60702050010
SWIFTJ1349.3-3018,60702050010
SWIFTJ0508.1+1727,60701016002
SWIFTJ1942.6-1024,60701012002
SWIFTJ1942.6-1024,60701012002
SWIFTJ1937.5-0613,60702018004
SWIFTJ1937.5-0613,60702018004
SWIFTJ1436.4+5846,60702008006
SWIFTJ1436.4+5846,60702008006
SWIFTJ1504.2+1025,80701616002
SWIFTJ1504.2+1025,60702007002
SWIFTJ1504.2+1025,60702007002
SWIFTJ1504.2+1025,60702007002
SWIFTJ1504.2+1025,60702007002
SWIFTJ1654.0+3946,60502009001
SWIFTJ1654.0+3946,60502009002
SWIFTJ1654.0+3946,60502009004
SWIFTJ1654.0+3946,60702062003
SWIFTJ1654.0+3946,60702062004
SWIFTJ1104.4+3812,60701031002
SWIFTJ1104.4+3812,60701031002
SWIFTJ0947.6-3057,60701014002
SWIFTJ1031.9-1418,60701046002
SWIFTJ1031.9-1418,60701046002
SWIFTJ1104.4+3812,60702061002
SWIFTJ1229.1+0202,10802608002
SWIFTJ2059.6+4301B,30801004002
SWIFTJ2346.8+5143,80801650002
SWIFTJ1106.5+7234,60801025002
SWIFTJ1106.5+7234,60801025002
SWIFTJ1106.5+7234,60801025003
SWIFTJ1106.5+7234,60801025004
SWIFTJ1921.1-5842,60801011002
SWIFTJ1202.5+3332,60802027002
SWIFTJ1202.5+3332,60802027004
SWIFTJ1210.5+3924,60901003002
SWIFTJ1202.5+3332,60802027006
SWIFTJ1202.5+3332,60802027008
SWIFTJ1202.5+3332,60802027010
SWIFTJ1202.5+3332,60802027012
SWIFTJ0128.0-1850,80701608002
SWIFTJ0128.0-1850,80701608002
SWIFTJ1349.3-3018,60701015002
SWIFTJ0214.6-0049,80602604004
SWIFTJ0214.6-0049,80602604004
SWIFTJ1229.1+0202,11002608002
SWIFTJ1412.9-6522,60901013002
