id,xmm_obsid
SWIFTJ2254.1-1734,0763920801
SWIFTJ2303.3+0852,0760350401
SWIFTJ2303.3+0852,0760350601
SWIFTJ2303.3+0852,0760350701
SWIFTJ2303.3+0852,0760350801
SWIFTJ1322.2-1641,0763220201
SWIFTJ2318.4-4223,0782720301
SWIFTJ2235.9-2602,0790650101
SWIFTJ1229.1+0202,0414191201
SWIFTJ1412.9-6522,0792382701
SWIFTJ1835.0+3240,0790600101
SWIFTJ0521.0-2522,0790580101
SWIFTJ1835.0+3240,0790600201
SWIFTJ1835.0+3240,0790600301
SWIFTJ0501.9-3239,0790810101
SWIFTJ0501.9-3239,0790810101
SWIFTJ1835.0+3240,0790600401
SWIFTJ1835.0+3240,0790600501
SWIFTJ1157.8+5529,0790840101
SWIFTJ1023.5+1952,0782520201
SWIFTJ2304.8-0843,0790640101
SWIFTJ0924.2-3141,0790620101
SWIFTJ1023.5+1952,0782520301
SWIFTJ1023.5+1952,0782520401
SWIFTJ1023.5+1952,0782520501
SWIFTJ1023.5+1952,0782520601
SWIFTJ1023.5+1952,0782520701
SWIFTJ1139.0-3743,0780860901
SWIFTJ1139.0-3743,0780861001
SWIFTJ0241.3-0816,0790980101
SWIFTJ2134.9-2729,0802200201
SWIFTJ2325.5-3827,0760020401
SWIFTJ0226.4-2821,0802200301
SWIFTJ1229.1+0202,0414191301
SWIFTJ1825.7+7215,0795610501
SWIFTJ0242.0+0516,0802200401
SWIFTJ0413.8+1112,0795600101
SWIFTJ1836.9-5924,0795690101
SWIFTJ1132.7+5301,0795730101
SWIFTJ1205.8+4959,0795610301
SWIFTJ0010.5+1057,0795620101
SWIFTJ1145.6-1819,0795580101
SWIFTJ1145.6-1819,0795580201
SWIFTJ1145.6-1819,0795580301
SWIFTJ1145.6-1819,0795580401
SWIFTJ1145.6-1819,0795580501
SWIFTJ0051.9+1724,0801890301
SWIFTJ1506.7+0353B,0795670101
SWIFTJ0426.2-5711,0820360101
SWIFTJ0130.0-4218,0830500101
SWIFTJ1031.5-4205,0830500201
SWIFTJ1033.8+5257,0830500301
SWIFTJ1131.9-1233,0820830101
SWIFTJ0420.0-5457,0800840201
SWIFTJ1229.1+0202,0414191401
SWIFTJ0006.2+2012,0780500301
SWIFTJ0917.2-6221,0830490101
SWIFTJ0230.2-0900,0824080301
SWIFTJ0230.2-0900,0824080401
SWIFTJ0230.2-0900,0824080501
SWIFTJ0324.8+3410,0823780201
SWIFTJ0324.8+3410,0823780301
SWIFTJ0324.8+3410,0823780401
SWIFTJ0324.8+3410,0823780501
SWIFTJ0324.8+3410,0823780601
SWIFTJ0324.8+3410,0823780701
SWIFTJ0420.0-5457,0820530401
SWIFTJ1203.0+4433,0830430201
SWIFTJ1203.0+4433,0830430801
SWIFTJ0426.2-5711,0820360201
SWIFTJ0127.5+1910,0830550801
SWIFTJ0127.5+1910,0830550901
SWIFTJ0127.5+1910,0830551001
SWIFTJ0127.5+1910,0830551101
SWIFTJ0127.5+1910,0830551201
SWIFTJ1001.8+2848,0822120401
SWIFTJ0945.6-1420,0840920301
SWIFTJ0420.0-5457,0840800401
SWIFTJ1229.1+0202,0810820101
SWIFTJ1419.0-2639,0852010101
SWIFTJ1419.0-2639,0852010201
SWIFTJ1419.0-2639,0852010301
SWIFTJ1419.0-2639,0852010401
SWIFTJ1419.0-2639,0852010501
SWIFTJ1800.3+6637,0852180901
SWIFTJ0807.9+3859,0852180501
SWIFTJ0623.8-3215,0852180301
SWIFTJ0030.0-5904,0852180101
SWIFTJ2325.5-3827,0840800501
SWIFTJ1023.5+1952,0844341301
SWIFTJ0925.0+5218,0852590301
SWIFTJ0925.0+5218,0852590101
SWIFTJ0105.5-4213,0852180201
SWIFTJ2307.9+2245,0852181001
SWIFTJ1023.5+1952,0844341401
SWIFTJ0934.7-2156,0852180601
SWIFTJ0959.5-2248,0852180701
SWIFTJ1225.8+1240,0852380101
SWIFTJ0304.1-0108,0852200101
SWIFTJ1429.2+0118,0852210101
SWIFTJ1253.5-4137,0852180801
SWIFTJ1253.5-4137,0852180801
SWIFTJ1253.5-4137,0852181201
SWIFTJ0656.4-4921,0852180401
SWIFTJ0925.0+5218,0852590201
SWIFTJ1106.5+7234,0854591101
SWIFTJ1144.1+3652,0871190101
SWIFTJ0456.3-7532,0863050201
SWIFTJ1229.1+0202,0810821501
SWIFTJ2346.8+5143,0870400101
SWIFTJ0742.5+4948,0870880201
SWIFTJ0742.5+4948,0870880101
SWIFTJ0955.5+6907,0870900301
SWIFTJ0955.5+6907,0870900101
SWIFTJ0955.5+6907,0870900401
SWIFTJ0955.5+6907,0870900201
SWIFTJ1313.6+3650B,0871020101
SWIFTJ2254.1-1734,0872390801
SWIFTJ2254.1-1734,0872390801
SWIFTJ1436.4+5846,0872390901
SWIFTJ1436.4+5846,0882340601
SWIFTJ1229.1+0202,0810821701
SWIFTJ1229.1+0202,0810821601
SWIFTJ0006.2+2012,0842761401
SWIFTJ0006.2+2012,0842760201
SWIFTJ0006.2+2012,0842761101
SWIFTJ0006.2+2012,0842761201
SWIFTJ0006.2+2012,0842761301
SWIFTJ1654.0+3946,0891200801
SWIFTJ1654.0+3946,0891200701
SWIFTJ1436.4+5846,0882341001
SWIFTJ1436.4+5846,0882340701
SWIFTJ1959.6+6507,0890660101
SWIFTJ0232.8+2020,0810822001
SWIFTJ0232.8+2020,0810821801
SWIFTJ1349.3-3018,0862091101
SWIFTJ1349.3-3018,0862090101
SWIFTJ1349.3-3018,0862090301
SWIFTJ1349.3-3018,0862091301
SWIFTJ1349.3-3018,0862090501
SWIFTJ1349.3-3018,0862091401
SWIFTJ1349.3-3018,0862090701
SWIFTJ1349.3-3018,0862091501
SWIFTJ1349.3-3018,0862090901
SWIFTJ0508.1+1727,0890680101
SWIFTJ1942.6-1024,0885090201
SWIFTJ1942.6-1024,0885090101
SWIFTJ1937.5-0613,0891010101
SWIFTJ1937.5-0613,0891010201
SWIFTJ1436.4+5846,0882341101
SWIFTJ1436.4+5846,0882340801
SWIFTJ1504.2+1025,0890640201
SWIFTJ1504.2+1025,0882130501
SWIFTJ1504.2+1025,0882130301
SWIFTJ1504.2+1025,0882130601
SWIFTJ1504.2+1025,0882130401
SWIFTJ1654.0+3946,0843230301
SWIFTJ1654.0+3946,0843230301
SWIFTJ1654.0+3946,0843230401
SWIFTJ1654.0+3946,0910790701
SWIFTJ1654.0+3946,0910790701
SWIFTJ1104.4+3812,0910791001
SWIFTJ1104.4+3812,0910790101
SWIFTJ0947.6-3057,0890670101
SWIFTJ1031.9-1418,0890410201
SWIFTJ1031.9-1418,0890410101
SWIFTJ1104.4+3812,0891200101
SWIFTJ1229.1+0202,0810821901
SWIFTJ2059.6+4301B,0902370101
SWIFTJ2346.8+5143,0910990101
SWIFTJ1106.5+7234,0912430301
SWIFTJ1106.5+7234,0912430101
SWIFTJ1106.5+7234,0912430201
SWIFTJ1106.5+7234,0912430201
SWIFTJ1921.1-5842,0913190101
SWIFTJ1202.5+3332,0913600101
SWIFTJ1202.5+3332,0913600501
SWIFTJ1210.5+3924,0921160201
SWIFTJ1202.5+3332,0913600601
SWIFTJ1202.5+3332,0913600701
SWIFTJ1202.5+3332,0913600801
SWIFTJ1202.5+3332,0913600901
SWIFTJ0128.0-1850,0880080301
SWIFTJ0128.0-1850,0880080101
SWIFTJ1349.3-3018,0890670201
SWIFTJ0214.6-0049,0870840501
SWIFTJ0214.6-0049,0870840301
SWIFTJ1229.1+0202,0810822101
SWIFTJ1412.9-6522,0932990101
