|name                  |ra         |dec        |time               |stop_time          |obsid    |exposure    |public_date|_Search_Offset                 |
|MRK 110               |09 25 21.19|+52 20 58.9|2007-11-02 08:15:48|2007-11-04 07:35:24|702124010| 90871.20000| 2008-11-16|  4.017 (141.303546,52.2862175)|
|ESO 565-G019          |09 34 43.25|-21 56 04.6|2012-05-20 20:54:08|2012-05-22 21:39:12|707013010| 78923.90000| 2013-06-05|  0.415 (143.681469,-21.927785)|
|UGC5101               |09 35 21.84|+61 19 06.6|2006-03-31 04:18:56|2006-04-01 08:25:24|701002010| 48990.20000| 2008-09-26|   4.133 (143.964992,61.353256)|
|UGC5101               |09 36 04.54|+61 25 04.1|2006-10-31 18:19:29|2006-11-01 09:30:22|701002020| 42166.00000| 2008-09-26|   4.171 (143.964992,61.353256)|
|NGC 2992              |09 45 50.21|-14 16 55.6|2005-12-13 10:15:40|2005-12-14 12:09:14|700005030| 46836.10000| 2007-05-27|  3.323 (146.424767,-14.326305)|
|NGC 2992              |09 45 44.45|-14 16 17.0|2005-11-06 14:17:44|2005-11-07 14:02:32|700005010| 37502.90000| 2007-05-27|  3.350 (146.424767,-14.326305)|
|NGC 2992              |09 45 40.97|-14 16 10.6|2005-11-19 21:04:33|2005-11-20 23:25:24|700005020| 37493.50000| 2007-05-27|  3.411 (146.424767,-14.326305)|
|MCG-5-23-16           |09 47 41.57|-30 56 42.0|2013-06-01 22:06:42|2013-06-05 05:55:18|708021010|159526.20000| 2013-04-01|  0.387 (146.917204,-30.948887)|
|MCG-5-23-16           |09 47 41.47|-30 56 41.3|2013-06-05 05:55:19|2013-06-07 23:00:11|708021020|138846.60000| 2013-04-01|  0.378 (146.917204,-30.948887)|
|MCG -5-23-16          |09 47 46.68|-30 54 08.3|2005-12-07 22:51:48|2005-12-10 11:51:19|700002010| 95677.40000| 2007-05-27|  3.128 (146.917204,-30.948887)|
|3C 227                |09 47 44.76|+07 25 28.2|2012-11-06 01:54:26|2012-11-08 00:40:15|707004010| 82532.50000| 2013-12-05|    0.158 (146.938095,7.422391)|
|4C73.08               |09 49 45.94|+73 15 07.6|2008-11-16 22:10:24|2008-11-18 11:52:19|703018010| 81375.20000| 2009-11-29|  0.743 (147.441449,73.2397227)|
|M81                   |09 55 25.42|+68 59 42.4|2006-05-08 00:07:30|2006-05-09 12:30:14|701022010|103518.60000| 2007-10-24|  4.265 (148.888451,69.0652157)|
|M81                   |09 55 31.90|+69 03 11.9|2015-05-18 11:19:51|2015-05-20 23:32:17|710017010| 97702.20000| 2016-06-04|  0.725 (148.888451,69.0652157)|
|M81                   |09 55 40.06|+69 04 27.5|2011-09-15 11:07:59|2011-09-16 10:54:17|906004010| 45675.90000| 2011-04-01|  0.818 (148.888451,69.0652157)|
|SWIFT J0959.5-2258    |09 59 22.32|-22 52 17.8|2008-06-18 21:49:07|2008-06-19 19:33:24|703013010| 43663.40000| 2009-07-04|  3.186 (149.873097,-22.826311)|
|NGC 3079              |10 01 59.33|+55 36 41.8|2008-05-26 20:54:12|2008-05-29 10:28:14|803039020|102340.00000| 2009-06-17|  4.100 (150.490793,55.6798305)|
|NGC 3079              |10 01 46.56|+55 36 58.7|2008-05-04 17:50:16|2008-05-05 02:45:17|803039010| 14408.30000| 2009-06-17|  4.128 (150.490793,55.6798305)|
|ESO 263-G013          |10 09 42.14|-42 51 37.1|2007-06-01 10:57:50|2007-06-02 14:16:14|702120010| 45294.70000| 2008-10-06|   3.146 (152.45081,-42.811238)|
|NGC3227               |10 23 30.53|+19 52 06.2|2008-11-27 21:29:20|2008-11-29 18:00:14|703022050| 79429.80000| 2008-04-01|  0.199 (155.877395,19.8650946)|
|NGC3227               |10 23 30.43|+19 52 07.7|2008-11-20 17:00:00|2008-11-22 08:59:19|703022040| 64567.90000| 2008-04-01|  0.225 (155.877395,19.8650946)|
|NGC3227               |10 23 30.38|+19 52 08.0|2008-10-28 08:12:52|2008-10-29 20:22:14|703022010| 58917.20000| 2008-04-01|  0.233 (155.877395,19.8650946)|
|NGC3227               |10 23 30.43|+19 52 08.0|2008-11-12 02:48:55|2008-11-13 17:30:19|703022030| 56571.50000| 2008-04-01|  0.231 (155.877395,19.8650946)|
|NGC3227               |10 23 30.53|+19 52 07.7|2008-11-04 03:36:31|2008-11-05 16:16:24|703022020| 53699.50000| 2008-04-01|  0.223 (155.877395,19.8650946)|
|NGC3227               |10 23 30.43|+19 52 07.3|2008-12-02 14:28:03|2008-12-03 17:21:19|703022060| 51410.50000| 2008-04-01|  0.219 (155.877395,19.8650946)|
|NGC 3281              |10 31 50.18|-34 54 26.6|2008-05-21 20:25:13|2008-05-23 05:29:25|703033010| 46234.00000| 2009-06-06|  3.246 (157.967011,-34.853686)|
|NGC3393               |10 48 18.00|-25 12 50.0|2007-05-23 18:47:11|2007-05-25 04:30:09|702004010| 55227.00000| 2008-10-06|  3.348 (162.097766,-25.162043)|
|MRK 417               |10 49 27.82|+22 54 05.8|2007-05-18 15:49:27|2007-05-19 13:45:12|702078010| 41506.60000| 2008-08-17|   3.844 (162.37886,22.9645525)|
|NGC 3431              |10 51 14.74|-17 00 54.0|2012-06-11 13:35:08|2012-06-13 13:22:17|707012010| 65675.60000| 2013-06-30|  0.422 (162.812665,-17.008078)|
|NGC 3431              |10 51 14.74|-17 00 54.0|2012-06-11 13:35:08|2012-06-13 13:22:17|707012010| 65675.60000| 2013-06-30|    8.535 (162.9061,-17.124721)|
|1ES 1101-232          |11 03 35.42|-23 32 49.6|2006-05-25 16:27:47|2006-05-27 05:11:19|701071010| 62432.70000| 2007-10-28|  3.345 (165.906738,-23.491975)|
|MRK 421               |11 04 25.94|+38 12 07.6|2008-05-05 02:52:18|2008-05-09 08:24:19|703043010|180785.10000| 2009-05-21|  0.485 (166.113785,38.2088302)|
|MRK421                |11 04 34.03|+38 16 16.0|2008-12-03 17:28:04|2008-12-05 22:45:10|703020010|101307.50000| 2009-12-23|  3.963 (166.113785,38.2088302)|
|MRK421                |11 04 12.50|+38 09 51.8|2006-04-28 06:46:17|2006-04-29 06:30:25|701024010| 41470.90000| 2007-10-21|  3.946 (166.113785,38.2088302)|
|NGC3516               |11 07 27.74|+72 37 16.7|2009-10-28 05:35:15|2009-11-02 12:39:14|704062010|251355.50000| 2009-04-01|4.365 (166.6977485,72.56866377)|
|NGC3516               |11 06 55.18|+72 34 40.4|2005-10-12 13:57:09|2005-10-15 09:07:24|100031010|134469.60000| 2007-05-27|0.801 (166.6977485,72.56866377)|
|NGC 3516              |11 06 43.61|+72 33 28.4|2015-05-12 08:01:41|2015-05-15 00:50:12|710009010|117701.20000| 2016-07-24|0.707 (166.6977485,72.56866377)|
|NGC 3516              |11 06 45.89|+72 33 12.2|2013-05-29 11:02:50|2013-05-30 15:15:14|708006040| 54218.00000| 2013-04-01|0.923 (166.6977485,72.56866377)|
|NGC 3516              |11 06 40.66|+72 33 31.7|2014-04-07 16:54:26|2014-04-08 12:00:24|708006080| 51539.00000| 2013-04-01|0.781 (166.6977485,72.56866377)|
|NGC 3516              |11 06 46.97|+72 33 15.5|2013-05-23 03:32:08|2013-05-24 07:05:07|708006070| 51475.20000| 2013-04-01|0.863 (166.6977485,72.56866377)|
|NGC 3516              |11 06 37.34|+72 33 39.6|2013-04-09 23:13:20|2013-04-11 01:06:16|708006010| 51386.00000| 2013-04-01|0.886 (166.6977485,72.56866377)|
|NGC 3516              |11 06 42.34|+72 33 26.6|2013-05-12 00:22:24|2013-05-13 02:30:23|708006030| 50428.30000| 2013-04-01|0.777 (166.6977485,72.56866377)|
|NGC 3516              |11 06 53.74|+72 35 02.0|2013-11-04 06:15:13|2013-11-05 05:10:17|708006060| 46200.00000| 2013-04-01|1.028 (166.6977485,72.56866377)|
|NGC 3516              |11 06 40.42|+72 33 23.8|2013-04-27 00:17:13|2013-04-27 10:42:22|708006020| 19103.00000| 2013-04-01|0.896 (166.6977485,72.56866377)|
|NGC 3516              |11 06 57.60|+72 34 38.3|2013-10-07 04:29:56|2013-10-08 23:28:20|708006050|     0.00000| 2013-04-01|0.919 (166.6977485,72.56866377)|
|PKS1127-145           |11 30 06.58|-14 49 28.2|2008-11-29 18:10:15|2008-11-30 22:51:24|703004010| 55545.10000| 2008-04-01|  0.116 (172.529381,-14.824266)|
|NGC 3718              |11 32 56.18|+53 06 42.5|2009-10-24 20:23:41|2009-10-26 06:08:19|704048010| 59888.20000| 2010-11-07|  4.143 (173.145267,53.0679714)|
|NGC3783               |11 38 52.82|-37 47 04.6|2009-07-10 21:50:25|2009-07-15 00:02:19|704063010|209503.40000| 2009-04-01|  3.271 (174.757133,-37.738611)|
|NGC 3783              |11 39 02.66|-37 44 11.0|2006-06-24 18:32:36|2006-06-26 20:34:17|701033010| 75719.30000| 2007-10-28|  0.230 (174.757133,-37.738611)|
|UGC 6728              |11 44 52.73|+79 36 38.2|2009-06-06 13:33:08|2009-06-07 12:18:08|704029010| 49003.90000| 2010-06-17|  4.380 (176.316418,79.6815021)|
|1150+497              |11 53 26.98|+49 31 54.5|2010-11-12 17:07:42|2010-11-14 02:30:10|705003010|105655.80000| 2011-11-27|  0.861 (178.351968,49.5191402)|
|NGC 3998              |11 57 52.75|+55 26 39.5|2014-05-03 21:06:51|2014-05-05 14:19:14|709002010| 80675.40000| 2015-05-17|  0.736 (179.483894,55.4536137)|
|SWIFT J1200.8+0650    |12 00 52.44|+06 44 55.7|2008-05-31 21:39:59|2008-06-02 22:16:24|703009010| 84486.60000| 2009-06-21|   3.716 (180.241436,6.8064024)|
|NGC 4051              |12 03 11.62|+44 32 21.8|2008-11-06 07:39:03|2008-11-12 02:40:14|703023010|274530.50000| 2008-04-01|   0.603 (180.79003,44.5313083)|
|NGC 4051              |12 03 25.34|+44 34 50.5|2005-11-10 19:14:14|2005-11-13 10:21:24|700004010|119578.00000| 2007-05-27|   4.079 (180.79003,44.5313083)|
|NGC 4051              |12 03 10.85|+44 32 21.5|2008-11-23 16:48:00|2008-11-25 13:43:43|703023020| 78385.50000| 2008-04-01|   0.528 (180.79003,44.5313083)|
|ARK 347               |12 04 22.85|+20 14 51.4|2010-06-30 23:54:36|2010-07-01 20:48:13|705002010| 38972.60000| 2011-07-30|  4.422 (181.123622,20.3163092)|
|NGC4102               |12 06 07.73|+52 39 12.2|2009-05-30 01:37:38|2009-06-01 10:05:14|704057010|105557.90000| 2010-06-16|  4.165 (181.596033,52.7110309)|
|NGC 4138              |12 09 46.42|+43 44 04.2|2009-11-02 12:47:43|2009-11-03 21:14:18|704047010| 60771.60000| 2010-11-17|   4.210 (182.37417,43.6853081)|
|NGC 4151              |12 10 34.08|+39 24 47.5|2012-11-11 20:13:42|2012-11-14 23:02:20|707024010|150266.90000| 2014-02-14|  0.529 (182.635714,39.4058493)|
|NGC 4151              |12 10 33.00|+39 24 50.0|2006-12-18 20:05:09|2006-12-21 09:14:13|701034010|124979.60000| 2008-08-24|  0.490 (182.635714,39.4058493)|
|NGC 4151              |12 10 34.63|+39 24 55.4|2011-11-17 15:15:47|2011-11-18 23:30:12|906006010| 61664.60000| 2011-04-01|  0.698 (182.635714,39.4058493)|
|NGC 4151              |12 10 34.13|+39 25 31.4|2011-12-18 15:02:08|2011-12-20 01:07:21|906006020| 60596.50000| 2011-04-01|  1.211 (182.635714,39.4058493)|
|MRK 766               |12 18 27.70|+29 49 06.2|2006-11-16 00:34:54|2006-11-18 08:44:01|701035010| 97869.30000| 2008-11-30|    0.416 (184.610475,29.81294)|
|MRK 766               |12 18 27.53|+29 49 10.9|2007-11-17 21:26:20|2007-11-19 05:40:19|701035020| 59363.50000| 2008-11-30|    0.461 (184.610475,29.81294)|
|NGC 4258              |12 19 00.43|+47 18 55.1|2010-11-11 03:50:36|2010-11-12 17:04:13|705051010|103833.20000| 2011-12-08|  0.840 (184.739585,47.3040128)|
|M106                  |12 18 50.81|+47 14 15.4|2006-06-10 12:59:29|2006-06-12 17:04:20|701095010| 99817.50000| 2007-10-28|  4.143 (184.739585,47.3040128)|
|1ES1218+304           |12 21 13.54|+30 07 00.8|2006-05-19 19:12:55|2006-05-21 16:57:14|701025010| 79869.20000| 2007-10-25|  4.037 (185.341432,30.1769831)|
|MRK 205               |12 20 59.02|+75 14 54.6|2010-05-22 18:21:23|2010-05-24 19:41:15|705062010|100960.50000| 2011-06-11|  4.701 (185.433717,75.3106378)|
|QSO 1222+216          |12 24 54.96|+21 23 19.3|2014-11-27 21:36:27|2014-11-28 07:05:16|709025010| 13400.20000| 2015-12-12|  0.560 (186.226924,21.3795662)|
|QSO 1222+216          |12 24 54.94|+21 23 15.7|2014-11-28 07:05:17|2014-11-28 09:45:18|709025020|   527.20000| 2015-12-12|  0.500 (186.226924,21.3795662)|
|NGC4388               |12 25 47.06|+12 40 02.6|2005-12-24 09:04:19|2005-12-27 06:00:14|800017010|123634.10000| 2007-05-27|  0.322 (186.444914,12.6621556)|
|NGC 4395              |12 25 38.66|+33 29 18.2|2007-06-02 14:30:03|2007-06-05 07:09:24|702001010|101507.50000| 2008-10-06|   4.105 (186.453655,33.546906)|
|3C 273                |12 29 01.42|+01 59 46.0|2007-06-30 00:03:15|2007-07-01 06:23:14|702070010| 54892.70000| 2008-08-17|    3.626 (187.277907,2.052393)|
|3C273                 |12 29 07.39|+02 02 58.2|2012-07-16 08:08:54|2012-07-17 09:00:18|107013010| 39755.30000| 2012-04-01|    0.245 (187.277907,2.052393)|
|NGC 4507              |12 35 35.69|-39 54 42.8|2007-12-20 12:20:59|2007-12-22 14:00:19|702048010|103626.00000| 2008-12-29|  0.238 (188.902645,-39.909347)|
|ESO 506-G027          |12 38 46.63|-27 21 30.2|2007-08-02 01:06:17|2007-08-03 06:10:24|702080010| 41745.30000| 2008-09-01|  3.514 (189.727488,-27.307803)|
|IGR J12391-1612       |12 39 13.68|-16 07 45.1|2008-12-18 21:43:23|2008-12-22 06:59:08|703007010|130274.00000| 2010-01-10|  3.516 (189.776186,-16.179785)|
|NGC 4593              |12 39 39.17|-05 20 27.6|2014-12-30 18:20:17|2015-01-03 07:59:56|709014050|145281.90000| 2016-01-28|  0.202 (189.914336,-5.3441634)|
|NGC 4593              |12 39 39.19|-05 20 28.3|2014-12-26 15:53:55|2014-12-30 18:20:16|709014040|130358.40000| 2016-01-28|  0.188 (189.914336,-5.3441634)|
|NGC 4593              |12 39 39.14|-05 20 33.4|2007-12-15 04:42:35|2007-12-17 23:20:11|702040010|118841.50000| 2008-12-29|  0.119 (189.914336,-5.3441634)|
|NGC 4593              |12 39 39.55|-05 20 47.0|2014-06-22 08:07:07|2014-06-23 02:22:22|709014020| 30961.00000| 2015-07-09|  0.137 (189.914336,-5.3441634)|
|NGC 4593              |12 39 39.14|-05 20 32.3|2014-12-15 15:08:33|2014-12-16 07:15:21|709014030| 30531.20000| 2015-12-27|  0.134 (189.914336,-5.3441634)|
|NGC 4593              |12 39 39.60|-05 20 53.5|2014-06-16 02:29:54|2014-06-16 20:33:12|709014010| 29761.60000| 2015-07-01|  0.245 (189.914336,-5.3441634)|
|NGC 4686              |12 46 12.19|+54 30 43.6|2009-04-25 16:48:24|2009-04-26 18:09:19|704015010| 44845.90000| 2010-05-23|   4.233 (191.666206,54.534287)|
|ESO 323-G032          |12 53 23.98|-41 34 59.5|2007-12-22 14:03:20|2007-12-24 03:30:14|702119010| 79249.40000| 2009-01-23|  3.218 (193.334613,-41.635597)|
|3C279                 |12 56 16.44|-05 44 01.7|2009-01-19 23:30:36|2009-01-22 22:32:20|703049010|134110.60000| 2010-05-12|  3.583 (194.046484,-5.7893621)|
|3C279                 |12 56 16.78|-05 43 58.1|2009-01-23 21:03:12|2009-01-25 03:00:14|703049020| 56937.00000| 2010-05-12|  3.670 (194.046484,-5.7893621)|
|SBS 1301+540          |13 04 03.67|+53 48 22.7|2014-11-30 23:57:07|2014-12-03 12:20:22|709018010| 94317.60000| 2016-03-04|  1.075 (195.997893,53.7916333)|
|NGC 4941              |13 04 12.67|-05 33 34.2|2012-06-22 11:16:12|2012-06-24 05:52:19|707001010| 80859.30000| 2013-07-07|  0.486 (196.054571,-5.5515957)|
|NGC 4945              |13 05 28.34|-49 24 54.7|2006-01-15 08:04:39|2006-01-17 23:10:20|100008030| 95066.30000| 2007-05-27|  3.174 (196.364385,-49.468039)|
|NGC 4945              |13 05 27.26|-49 27 57.2|2011-01-29 02:05:50|2011-01-30 02:50:14|705047050| 46107.60000| 2012-02-12|  0.132 (196.364385,-49.468039)|
|NGC 4945              |13 05 21.96|-49 31 38.6|2010-07-09 23:50:49|2010-07-11 06:18:12|705047020| 44151.70000| 2011-08-04|  3.672 (196.364385,-49.468039)|
|NGC 4945              |13 05 18.36|-49 31 14.5|2010-07-26 01:36:35|2010-07-27 04:11:23|705047030| 40326.60000| 2011-08-07|  3.488 (196.364385,-49.468039)|
|NGC 4945              |13 05 10.03|-49 30 51.8|2010-08-30 21:34:36|2010-08-31 23:45:10|705047040| 39385.90000| 2011-09-11|  3.967 (196.364385,-49.468039)|
|NGC 4945              |13 05 23.02|-49 31 42.2|2010-07-04 15:15:58|2010-07-05 16:14:17|705047010| 39073.70000| 2011-07-28|  3.693 (196.364385,-49.468039)|
|NGC 4945              |13 05 29.09|-49 27 59.8|2005-08-22 18:41:31|2005-08-23 02:25:33|100008010| 14338.00000| 2007-05-27|  0.279 (196.364385,-49.468039)|
|NGC 4945              |13 05 29.59|-49 27 59.8|2005-08-23 02:25:34|2005-08-23 02:28:58|100008020|   177.60000| 2007-05-27|  0.358 (196.364385,-49.468039)|
|ESO 323-G077          |13 06 25.75|-40 25 25.0|2011-07-20 15:32:10|2011-07-21 10:00:14|706033010| 44122.20000| 2012-10-12|   0.544 (196.608846,-40.41461)|
|ESO 323-G077          |13 06 25.75|-40 25 25.0|2011-07-20 15:32:10|2011-07-21 10:00:14|706033010| 44122.20000| 2012-10-12|  8.873 (196.800383,-40.407563)|
|NGC 4992              |13 08 58.61|+11 34 39.4|2006-06-18 05:29:25|2006-06-19 05:04:13|701080010| 38788.60000| 2007-11-18|    3.800 (197.27333,11.634144)|
|SWIFT J1310.9-5553    |13 10 44.83|-55 52 19.9|2011-07-19 10:46:29|2011-07-20 15:26:17|706009010| 82785.00000| 2012-10-13|  0.250 (197.680692,-55.869818)|
|MCG-03-34-64          |13 22 23.90|-16 43 37.2|2013-01-04 21:12:35|2013-01-09 04:10:11|707027010|155712.70000| 2012-04-01|  0.159 (200.601925,-16.728445)|
|SWIFT J1322.2-1641    |13 22 19.66|-16 47 08.9|2009-07-01 23:22:19|2009-07-02 23:57:19|704022010| 41348.70000| 2010-07-16|  3.629 (200.601925,-16.728445)|
|Cen A                 |13 25 28.68|-43 01 03.7|2005-08-19 03:39:19|2005-08-20 09:50:08|100005010| 64675.90000| 2005-12-01|   0.214 (201.365094,-43.01922)|
|CENTAURUS_A           |13 25 21.86|-43 04 19.2|2009-07-20 08:55:29|2009-07-21 18:26:24|704018010| 62432.80000| 2010-08-07|   3.337 (201.365094,-43.01922)|
|CENTAURUS_A           |13 25 18.74|-43 03 53.6|2009-08-14 09:06:56|2009-08-16 02:31:24|704018030| 55944.20000| 2010-08-26|   3.185 (201.365094,-43.01922)|
|CENTAURUS_A           |13 25 19.73|-43 04 07.7|2009-08-05 07:23:27|2009-08-06 16:52:14|704018020| 51278.70000| 2010-08-22|   3.306 (201.365094,-43.01922)|
|CENTAURUS A           |13 25 28.78|-43 01 09.8|2013-08-15 04:22:42|2013-08-15 10:14:09|708036010| 10675.10000| 2014-10-24|   0.211 (201.365094,-43.01922)|
|CENTAURUS A           |13 25 12.79|-43 00 05.0|2014-01-06 11:18:21|2014-01-06 15:52:24|708036020|  7365.20000| 2015-03-05|   2.914 (201.365094,-43.01922)|
|MCG-6-30-15           |13 35 52.94|-34 17 40.6|2006-01-09 23:22:19|2006-01-14 03:20:12|700007010|143196.50000| 2007-05-27|  0.181 (203.974045,-34.295617)|
|MCG-6-30-15           |13 35 53.21|-34 17 51.4|2006-01-23 12:09:04|2006-01-26 02:00:20|700007020| 98483.40000| 2007-05-27|  0.166 (203.974045,-34.295617)|
|MCG-6-30-15           |13 35 53.11|-34 17 52.1|2006-01-27 22:16:43|2006-01-30 08:50:19|700007030| 96691.90000| 2007-05-27|  0.189 (203.974045,-34.295617)|
|MCG-6-30-15           |13 35 55.08|-34 17 30.8|2005-08-17 16:09:53|2005-08-19 03:30:06|100004010| 46698.70000| 2007-05-27|  0.351 (203.974045,-34.295617)|
|NGC 5252              |13 38 15.91|+04 32 53.2|2012-12-26 21:06:27|2012-12-28 02:17:12|707028010| 50270.10000| 2014-01-30|   0.326 (204.566148,4.5426605)|
|NGC 5273              |13 42 08.40|+35 38 40.6|2013-07-16 04:37:55|2013-07-18 01:18:13|708001010| 81770.90000| 2014-08-21|    0.582 (205.53491,35.654301)|
|4U 1344-60            |13 47 35.18|-60 37 08.4|2011-01-11 19:01:05|2011-01-14 11:24:11|705058010| 93877.30000| 2012-02-18|  0.126 (206.900028,-60.617743)|
|IC 4329A              |13 49 19.94|-30 18 34.6|2012-08-13 02:13:09|2012-08-15 15:25:17|707025010|117593.80000| 2013-09-05|  0.148 (207.330253,-30.309494)|
|IC4329A               |13 49 19.90|-30 18 35.6|2007-08-06 00:41:45|2007-08-06 21:05:13|702113020| 30623.30000| 2008-09-21|  0.139 (207.330253,-30.309494)|
|IC4329A               |13 49 19.66|-30 18 41.8|2007-08-11 11:00:23|2007-08-12 05:06:24|702113030| 26895.90000| 2008-09-21|  0.152 (207.330253,-30.309494)|
|IC4329A               |13 49 19.66|-30 18 38.5|2007-08-01 05:28:20|2007-08-02 01:00:24|702113010| 25453.40000| 2008-09-01|  0.112 (207.330253,-30.309494)|
|IC4329A               |13 49 19.61|-30 18 30.2|2007-08-16 11:48:47|2007-08-17 03:52:14|702113040| 24219.40000| 2008-09-21|  0.100 (207.330253,-30.309494)|
|IC4329A               |13 49 19.70|-30 18 35.3|2007-08-20 23:26:16|2007-08-21 13:20:24|702113050| 24026.20000| 2008-09-21|  0.097 (207.330253,-30.309494)|
|MKN 279               |13 52 54.07|+69 18 07.6|2009-05-14 06:19:04|2009-05-17 16:00:14|704031010|160351.40000| 2010-05-29|   0.904 (208.264319,69.308181)|
|CIRCINUS GALAXY       |14 13 11.30|-65 20 01.0|2006-07-21 12:29:57|2006-07-23 01:08:24|701036010|108021.70000| 2007-10-28|  0.358 (213.291518,-65.339092)|
|NGC 5506              |14 13 14.28|-03 12 10.4|2007-01-31 02:12:12|2007-02-01 15:04:15|701030030| 57406.30000| 2008-08-17|  0.323 (213.311989,-3.2076737)|
|NGC 5506              |14 13 14.90|-03 12 42.8|2006-08-11 02:26:18|2006-08-12 10:46:20|701030020| 53296.20000| 2008-08-17|  0.254 (213.311989,-3.2076737)|
|NGC 5506              |14 13 14.88|-03 12 44.6|2006-08-08 16:30:05|2006-08-10 00:05:37|701030010| 47753.10000| 2008-08-17|  0.284 (213.311989,-3.2076737)|
|NGC5548               |14 17 59.50|+25 07 35.0|2007-08-05 00:37:46|2007-08-06 00:30:24|702042080| 38775.70000| 2008-09-05|  0.627 (214.498106,25.1368518)|
|NGC5548               |14 17 58.34|+25 07 30.7|2007-06-24 21:53:31|2007-06-25 16:36:12|702042020| 35915.20000| 2008-08-17|  0.750 (214.498106,25.1368518)|
|NGC5548               |14 17 59.26|+25 07 35.8|2007-07-29 04:20:44|2007-07-30 00:30:14|702042070| 31809.90000| 2008-08-28|  0.619 (214.498106,25.1368518)|
|NGC5548               |14 17 58.34|+25 07 42.2|2007-06-18 22:28:15|2007-06-19 15:20:08|702042010| 31118.80000| 2008-08-17|  0.575 (214.498106,25.1368518)|
|NGC5548               |14 17 58.39|+25 07 42.6|2007-07-08 10:02:55|2007-07-09 02:50:14|702042040| 30699.60000| 2008-08-17|  0.565 (214.498106,25.1368518)|
|NGC5548               |14 17 59.02|+25 07 39.7|2007-07-15 13:57:39|2007-07-16 10:00:19|702042050| 30019.70000| 2008-08-29|  0.562 (214.498106,25.1368518)|
|NGC5548               |14 17 58.92|+25 07 37.9|2007-07-22 10:40:25|2007-07-23 06:30:24|702042060| 28917.80000| 2008-08-28|  0.596 (214.498106,25.1368518)|
|ESO 511-G030          |14 19 22.85|-26 38 45.6|2012-07-22 00:40:40|2012-07-28 08:01:05|707023020|224025.50000| 2013-12-20|  0.124 (214.843352,-26.644752)|
|ESO 511-G030          |14 19 22.94|-26 38 44.5|2012-08-17 18:17:37|2012-08-18 19:06:18|707023030| 51917.20000| 2013-12-14|  0.133 (214.843352,-26.644752)|
|ESO 511-G030          |14 19 22.85|-26 38 51.0|2012-07-20 12:11:53|2012-07-20 18:00:12|707023010|  5746.10000| 2013-12-20|  0.192 (214.843352,-26.644752)|
|1ES1426+428           |14 28 14.45|+42 37 57.7|2008-06-05 20:53:11|2008-06-08 02:03:24|703063010|101166.20000| 2009-06-21|  4.106 (217.135876,42.6725043)|
|1ES1426+428           |14 28 17.18|+42 37 29.6|2006-06-16 17:43:55|2006-06-18 05:20:24|701026010| 60914.90000| 2007-10-27|  4.025 (217.135876,42.6725043)|
|NGC5643               |14 32 34.13|-44 13 36.5|2007-08-19 21:06:29|2007-08-20 23:20:19|702010010| 42882.30000| 2008-10-31|  3.356 (218.169627,-44.174429)|
|NGC 5728              |14 42 19.06|-17 18 34.2|2006-07-19 17:39:43|2006-07-20 15:02:09|701079010| 41307.70000| 2007-10-27|  3.579 (220.599473,-17.253016)|
|WKK 4438              |14 55 17.14|-51 33 04.3|2012-01-22 02:33:33|2012-01-24 01:27:51|706011010| 70308.80000| 2013-06-26|  1.182 (223.822944,-51.570879)|
|IC 4518A              |14 57 40.56|-43 07 36.8|2012-02-02 04:08:09|2012-02-04 00:00:24|706012010| 64398.60000| 2013-05-22|  0.330 (224.421579,-43.132062)|
|MRK 841               |15 04 02.18|+10 27 31.3|2012-01-05 20:45:03|2012-01-11 04:33:10|706029010|244351.80000| 2011-04-01|  1.282 (226.004963,10.4377321)|
|MRK 841               |15 04 01.37|+10 26 38.4|2012-01-18 18:18:03|2012-01-21 08:38:18|706029020|110289.00000| 2011-04-01|  0.379 (226.004963,10.4377321)|
|MKN 841               |15 04 05.28|+10 29 52.8|2007-01-22 08:45:44|2007-01-23 14:33:09|701084010| 51752.80000| 2008-11-07|  3.753 (226.004963,10.4377321)|
|MKN 841               |15 03 55.46|+10 22 34.0|2007-07-23 16:43:49|2007-07-25 05:15:14|701084020| 50925.30000| 2008-11-30|  3.957 (226.004963,10.4377321)|
|2MASX J15115979-2119  |15 11 59.93|-21 18 29.9|2012-02-22 01:19:24|2012-02-23 22:30:13|706010010| 83816.20000| 2013-03-10|  0.529 (227.999186,-21.317098)|
|PKS 1510-089          |15 12 50.59|-09 06 15.5|2006-08-02 09:31:29|2006-08-05 06:06:24|701094010|119157.70000| 2007-10-21|  0.261 (228.210545,-9.0999498)|
|PKS1510-089           |15 12 50.26|-09 05 44.2|2009-01-27 04:31:49|2009-01-28 05:25:14|703005010| 44305.40000| 2008-04-01|  0.270 (228.210545,-9.0999498)|
|PKS1549-79            |15 57 08.06|-79 13 48.7|2008-10-13 15:35:24|2008-10-15 21:37:21|703059010| 82175.50000| 2009-11-13|  0.501 (239.245325,-79.234523)|
|A3627_WEST            |16 12 40.82|-60 41 54.2|2013-09-11 13:21:08|2013-09-12 06:05:04|808059010| 52799.80000| 2014-10-26|   7.248 (242.964155,-60.63196)|
|3C 332                |16 17 41.74|+32 21 47.5|2009-08-08 00:49:13|2009-08-09 11:10:20|704038010| 59833.90000| 2010-08-29|  0.799 (244.427239,32.3762175)|
