SwiftName,name,ra,dec,time,stop_time,obsid,exposure,public_date,_Search_Offset
SWIFTJ0319.7+4132,PERSEUS CLUSTER       ,03 19 47.06,+41 31 04.4,2007-08-15 12:40:49,2007-08-16 11:27:22,102011010,42281.7, 2007-04-01,"  0.423 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 46.66,+41 31 01.6,2009-08-26 04:00:28,2009-08-27 03:29:14,104018010,41279.8, 2009-04-01,"  0.428 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 47.02,+41 31 04.1,2013-08-15 10:35:14,2013-08-16 08:32:24,108005010,41256.9, 2013-04-01,"  0.423 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 46.75,+41 31 02.6,2012-08-20 23:30:51,2012-08-21 23:34:10,107005010,41131.5, 2012-04-01,"  0.430 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 46.39,+41 31 33.6,2011-07-27 12:27:12,2011-07-28 13:07:23,106005010,40838.2, 2011-04-01,"  0.918 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 47.23,+41 31 04.8,2008-08-13 14:28:17,2008-08-14 14:53:24,103004010,40568.5, 2008-04-01,"  0.414 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 49.37,+41 30 10.1,2011-02-03 00:35:55,2011-02-03 22:59:18,105009020,40461.1, 2010-04-01,"  0.582 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_CI_2          ,03 19 46.54,+41 31 30.4,2011-07-26 12:07:10,2011-07-27 12:26:19,106006010,40145.3, 2011-04-01,"  0.858 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 48.29,+41 29 36.2,2010-02-01 08:03:24,2010-02-02 06:00:19,104019010,38615.1, 2009-04-01,"  1.100 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 49.10,+41 30 18.7,2014-02-05 12:38:23,2014-02-06 09:10:07,108005020,37999.6, 2013-04-01,"  0.430 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 49.49,+41 30 37.1,2013-02-11 04:59:55,2013-02-12 04:49:05,107005020,37690.1, 2012-04-01,"  0.263 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 49.44,+41 30 19.4,2015-03-03 17:40:55,2015-03-04 14:02:20,109005020,37204.6, 2014-04-01,"  0.449 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 45.74,+41 31 11.6,2010-08-09 09:10:56,2010-08-10 00:15:18,105009010,33624.2, 2010-04-01,"  0.667 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_PSUM          ,03 19 49.54,+41 30 20.2,2015-03-05 02:44:21,2015-03-05 18:36:23,109007010,30680.2, 2014-04-01,"  0.449 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS (1/4WIN)      ,03 19 49.22,+41 30 20.5,2009-02-12 19:33:08,2009-02-13 10:33:19,103005020,28816.2, 2008-04-01,"  0.413 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_1_4_WIN       ,03 19 45.67,+41 31 15.6,2010-08-10 00:15:19,2010-08-10 15:31:19,105010010,27372.7, 2010-04-01,"  0.726 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_1_4_WIN       ,03 19 46.63,+41 31 04.1,2012-08-20 12:56:40,2012-08-20 23:30:22,107006010,23678.6, 2012-04-01,"  0.463 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_1_4_WIN       ,03 19 49.34,+41 30 19.1,2015-03-04 14:02:21,2015-03-05 02:44:20,109006010,23649.2, 2014-04-01,"  0.445 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_1_4_WIN_CI_2  ,03 19 46.25,+41 31 06.2,2011-08-22 18:10:42,2011-08-23 05:38:10,106008010,23202.3, 2011-04-01,"  0.537 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_1_4_WIN       ,03 19 49.34,+41 30 18.7,2013-02-12 04:49:58,2013-02-12 16:30:06,107006020,22024.7, 2012-04-01,"  0.450 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS 1/4 WIN       ,03 19 48.14,+41 29 41.6,2010-02-02 06:01:08,2010-02-02 16:59:19,104021010,21641.5, 2009-04-01,"  1.010 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_1_4_WIN       ,03 19 47.26,+41 31 03.4,2013-08-16 08:33:09,2013-08-16 19:25:23,108006010,21623.9, 2013-04-01,"  0.391 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS (1/4WIN)      ,03 19 47.40,+41 31 04.8,2008-08-14 14:53:25,2008-08-15 02:34:19,103005010,21478.0, 2008-04-01,"  0.402 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_1_4_WIN       ,03 19 49.25,+41 30 13.3,2011-02-02 11:05:51,2011-02-03 00:35:18,105010020,21092.6, 2010-04-01,"  0.523 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_1_4_WIN       ,03 19 46.51,+41 30 58.3,2011-08-23 05:38:11,2011-08-23 17:12:10,106007010,20971.3, 2011-04-01,"  0.409 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_1_4_WIN       ,03 19 48.96,+41 30 05.4,2012-02-08 22:00:24,2012-02-09 10:00:10,106007020,20856.9, 2011-04-01,"  0.632 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_1_4_WIN_CI_6  ,03 19 49.56,+41 30 05.0,2011-02-21 17:48:47,2011-02-22 04:59:14,105028010,20636.3, 2010-04-01,"  0.673 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS               ,03 19 46.42,+41 31 04.1,2014-08-27 16:08:56,2014-08-28 04:27:04,109005010,19977.3, 2014-04-01,"  0.489 (49.9506711,41.5117309)"
SWIFTJ0319.7+4132,PERSEUS_1_4_WIN       ,03 19 49.08,+41 30 18.0,2014-02-06 09:10:08,2014-02-06 18:55:13,108006020,18956.5, 2013-04-01,"  0.439 (49.9506711,41.5117309)"
SWIFTJ0324.8+3410,1H0323+342            ,03 24 41.90,+34 10 26.8,2013-03-01 14:49:00,2013-03-03 19:23:21,707015010,101272.0, 2014-03-23,"   0.353 (51.1714997,34.179396)"
SWIFTJ0324.8+3410,1H0323+342            ,03 24 36.17,+34 14 28.0,2009-07-26 03:51:03,2009-07-28 05:00:12,704034010,84088.4, 2010-08-11,"   3.843 (51.1714997,34.179396)"
SWIFTJ0328.4-2846,PKS 0326-288          ,03 28 37.22,-28 41 47.4,2010-01-30 21:20:07,2010-02-01 07:50:19,704039010,58023.7, 2011-02-24,"   0.211 (52.152142,-28.698871)"
SWIFTJ0333.6-3607,NGC 1365              ,03 33 35.42,-36 08 28.3,2010-07-15 21:29:45,2010-07-22 08:49:23,705031020,302175.3, 2010-04-01,"  0.208 (53.4016964,-36.140186)"
SWIFTJ0333.6-3607,NGC 1365              ,03 33 35.23,-36 08 04.9,2008-01-21 05:31:17,2008-01-25 00:00:18,702047010,160505.7, 2009-02-21,"  0.406 (53.4016964,-36.140186)"
SWIFTJ0333.6-3607,NGC 1365              ,03 33 33.82,-36 08 27.2,2010-06-27 00:40:55,2010-06-30 23:36:11,705031010,151613.4, 2010-04-01,"  0.525 (53.4016964,-36.140186)"
SWIFTJ0333.6-3607,NGC1365               ,03 33 37.15,-36 08 44.9,2012-07-08 20:16:14,2012-07-09 16:35:09,707017020,33585.8, 2013-08-04,"  0.369 (53.4016964,-36.140186)"
SWIFTJ0333.6-3607,NGC1365               ,03 33 36.91,-36 08 43.4,2012-07-29 08:16:06,2012-07-30 02:28:21,707017040,31360.3, 2013-08-24,"  0.329 (53.4016964,-36.140186)"
SWIFTJ0333.6-3607,NGC1365               ,03 33 37.25,-36 08 42.7,2012-06-29 03:39:45,2012-06-29 23:56:06,707017010,30694.9, 2013-07-18,"  0.345 (53.4016964,-36.140186)"
SWIFTJ0333.6-3607,NGC1365               ,03 33 37.73,-36 08 49.6,2012-07-17 09:18:11,2012-07-17 21:30:22,707017030,26767.2, 2013-10-17,"  0.493 (53.4016964,-36.140186)"
SWIFTJ0342.0-2115,ESO 548-G081          ,03 41 58.25,-21 11 41.6,2009-08-03 08:02:28,2009-08-04 04:40:14,704026010,39411.2, 2010-08-19,"   3.227 (55.5154676,-21.24431)"
SWIFTJ0350.1-5019,SWIFT J0350.1-5019    ,03 50 39.89,-50 17 59.3,2006-11-23 02:07:53,2006-11-23 13:33:14,701017020,19271.0, 2008-10-11,"  2.704 (57.5957829,-50.302613)"
SWIFTJ0350.1-5019,SWIFT J0350.1-5019    ,03 50 20.71,-50 21 06.5,2007-03-03 07:01:36,2007-03-03 12:05:19,701017030,8148.7, 2008-10-11,"  2.973 (57.5957829,-50.302613)"
SWIFTJ0350.1-5019,SWIFT J0350.1-5019    ,03 50 07.56,-50 20 01.3,2006-04-13 12:06:45,2006-04-13 16:12:19,701017010,2699.8, 2008-10-11,"  3.089 (57.5957829,-50.302613)"
SWIFTJ0407.4+0339,3C 105                ,04 07 21.58,+03 39 06.5,2008-02-05 12:52:17,2008-02-07 02:00:05,702074010,38319.0, 2009-02-21,"    3.559 (61.8186282,3.707181)"
SWIFTJ0418.3+3800,3C 111                ,04 18 17.78,+38 05 20.0,2008-08-22 09:56:26,2008-08-25 04:24:24,703034010,122378.0, 2009-09-10,"  3.801 (64.5886425,38.0266014)"
SWIFTJ0418.3+3800,3C111                 ,04 18 20.11,+38 02 11.0,2010-09-02 03:49:24,2010-09-03 21:35:18,705040010,80683.0, 2011-09-18,"  0.631 (64.5886425,38.0266014)"
SWIFTJ0418.3+3800,3C111                 ,04 18 20.11,+38 01 58.4,2010-09-14 23:02:22,2010-09-16 17:50:21,705040030,80365.9, 2011-10-01,"  0.442 (64.5886425,38.0266014)"
SWIFTJ0418.3+3800,3C111                 ,04 18 20.11,+38 02 02.8,2010-09-09 00:38:43,2010-09-10 18:12:18,705040020,79419.8, 2011-09-23,"  0.505 (64.5886425,38.0266014)"
SWIFTJ0420.0-5457,NGC 1566              ,04 20 00.91,-54 56 25.1,2012-05-19 01:36:44,2012-05-20 06:34:19,707002010,72791.0, 2013-05-30,"  0.160 (65.0016418,-54.937944)"
SWIFTJ0426.2-5711,1H0419-577            ,04 26 02.78,-57 12 39.6,2007-07-25 05:33:59,2007-07-28 02:00:19,702041010,205862.8, 2008-08-28,"  0.689 (66.5030053,-57.200506)"
SWIFTJ0426.2-5711,1H 0419-577           ,04 26 15.79,-57 14 03.5,2010-01-16 11:36:08,2010-01-18 19:44:19,704064010,122835.4, 2011-02-02,"  2.876 (66.5030053,-57.200506)"
SWIFTJ0433.0+0521,3C120                 ,04 33 11.62,+05 20 58.6,2012-02-09 10:09:43,2012-02-13 21:00:18,706042010,183001.5, 2011-04-01,"   0.312 (68.2962182,5.3543204)"
