ID,SwiftName,Counterpart,RA,DEC,Redshift,nh
25,SWIFTJ0041.0+2444,SWIFTJ004039.9+244539,10.1661783,24.7609374,0.07836469,3.9e+20
28,SWIFTJ0042.9-2332,NGC235A,10.7200423,-23.541046,0.02206534,1.48e+20
29,SWIFTJ0042.9+3016A,2MASXJ00430184+3017195,10.7578514,30.2887771,0.04894004,5.78e+20
30,SWIFTJ0042.9+3016B,2MASXJ00423991+3017515,10.6662872,30.2976209,0.14012759,5.79e+20
31,SWIFTJ0042.9-1135,MCG-2-2-95,10.7865818,-11.601037,0.01938369,2.5e+20
32,SWIFTJ0046.2-4008,ESP39607,11.5861961,-40.097039,0.20111317,3.56e+20
33,SWIFTJ0048.8+3155,Mrk348,12.1964231,31.9569703,0.01466916,7.26e+20
34,SWIFTJ0051.6+2928,UGC524,12.8959113,29.4012876,0.03589227,6.82e+20
36,SWIFTJ0051.9+1724,Mrk1148,12.9781786,17.4329205,0.06402702,5.01e+20
37,SWIFTJ0052.3-2730,2MASXJ00520383-2723488,13.015854,-27.396923,0.07678326,1.62e+20
39,SWIFTJ0054.9+2524,PG0052+251,13.7171686,25.427508,0.15505694,5.12e+20
42,SWIFTJ0057.0+6405,NVSSJ005712+635942,14.3035108,63.9952504,0.2896265,1e+22
43,SWIFTJ0059.4+3150,Mrk352,14.9720011,31.8270228,0.01463096,6.4e+20
44,SWIFTJ0100.9-4750,2MASXJ01003490-4752033,15.1456808,-47.867721,0.04843393,2e+20
45,SWIFTJ0101.5-0308,2MASXJ01012440-0308399,15.3516234,-3.1444828,0.0694821,3.63e+20
48,SWIFTJ0103.8-6437,PKS0101-649,15.8904897,-64.652116,0.16347243,2.47e+20
49,SWIFTJ0105.5-4213,MCG-7-3-7,16.3617325,-42.216216,0.03029257,2.66e+20
50,SWIFTJ0106.2-4704,ESO243-26,16.4083363,-47.071687,0.01919329,2.07e+20
51,SWIFTJ0105.7-1414,RBS149,16.4116637,-14.270439,0.06676629,2.23e+20
52,SWIFTJ0105.6-3433,HE0103-3447,16.4445786,-34.528966,0.05723542,1.9e+20
53,SWIFTJ0106.8+0639,UM85,16.6886002,6.6338489,0.04109925,3.23e+20
55,SWIFTJ0107.7-1137B,2MASXJ01073963-1139117,16.9151809,-11.653119,0.04690987,2.69e+20
57,SWIFTJ0109.0+1320,3C33,17.2203085,13.3373168,0.05943233,3.6e+20
58,SWIFTJ0111.4-3808,NGC424,17.8651625,-38.083459,0.01088493,1.63e+20
59,SWIFTJ0113.8+2515,WISEJ011322.69+251853.2,18.3445605,25.3147963,1.58928,8.08e+20
60,SWIFTJ0113.8+1313,Mrk975,18.462671,13.2717505,0.049926,3.75e+20
61,SWIFTJ0113.8-1450,Mrk1152,18.4586759,-14.845654,0.05255808,1.89e+20
62,SWIFTJ0114.5-3236,IC1657,18.5292124,-32.650883,0.01168781,2.59e+20
63,SWIFTJ0114.4-5522,NGC454E,18.6039118,-55.397048,0.01219622,2.4e+20
64,SWIFTJ0116.3+3104,NGC452,19.0616678,31.0338419,0.01689692,7e+20
65,SWIFTJ0116.5-1235,2MASXJ01163118-1236171,19.1297888,-12.604714,0.14244739,2.61e+20
69,SWIFTJ0122.0-2818,Q0119-286,20.4646356,-28.349368,0.11559918,1.62e+20
70,SWIFTJ0122.8+5003,MCG+8-3-18,20.6433963,50.0549783,0.02058234,2.18e+21
71,SWIFTJ0122.9+3420,SHBLJ012308.7+342049,20.7859782,34.3467826,0.27234878,6.25e+20
72,SWIFTJ0123.8-3504,NGC526A,20.9765475,-35.065445,0.01889639,2.48e+20
73,SWIFTJ0123.9-5846,Fairall9,20.9407192,-58.805775,0.04587331,3.4e+20
74,SWIFTJ0124.5+3350,NGC513,21.1116658,33.799487,0.01913786,6.42e+20
75,SWIFTJ0126.0+3511,1RXSJ012556.6+351039,21.4830788,35.176913,0.31145468,5.7e+20
76,SWIFTJ0126.2+1517,RHS10,21.4919297,15.3037975,0.11015757,4.13e+20
77,SWIFTJ0127.5+1910,Mrk359,21.8854896,19.1788337,0.01678915,5.16e+20
78,SWIFTJ0128.0-1850,MCG-3-4-72,22.0280068,-18.808629,0.04290824,1.46e+20
79,SWIFTJ0128.4+1631,Z459-58,22.1018382,16.4593292,0.03827195,5.88e+20
80,SWIFTJ0128.9-6039,2MASXJ01290761-6038423,22.2818629,-60.645036,0.20340399,2.88e+20
81,SWIFTJ0130.0-4218,ESO244-30,22.4632342,-42.326454,0.02507036,1.82e+20
82,SWIFTJ0130.2-4552,2MASXJ01302127-4601448,22.5887222,-46.029149,0.11153306,1.6e+20
83,SWIFTJ0131.8-3307,ESO353-9,22.9600122,-33.11929,0.01638817,2.68e+20
84,SWIFTJ0134.1-3625,NGC612,23.4903535,-36.493219,0.02989782,2.06e+20
85,SWIFTJ0134.8-0430,LEDA1057320,23.690138,-4.5036554,0.07925324,4.05e+20
86,SWIFTJ0136.5+3906,B30133+388,24.1358277,39.0997756,,7.59e+20
87,SWIFTJ0138.6-4001,ESO297-18,24.6548345,-40.011438,0.02515154,1.7e+20
88,SWIFTJ0138.8+2925,LEDA138434,24.8500212,29.4019643,0.07180081,5.93e+20
89,SWIFTJ0140.6-5321,2MASXJ01402676-5319389,25.1116719,-53.327614,0.07161211,2.86e+20
90,SWIFTJ0142.0+3922,B20138+39B,25.4906996,39.391449,0.07915402,7.09e+20
92,SWIFTJ0149.2+2153A,LEDA1656658,27.2487096,21.7594329,0.06939691,8.8e+20
93,SWIFTJ0149.2+2153B,NGC678,27.353505,21.9973509,0.00948535,8.63e+20
94,SWIFTJ0149.9-5019,CSRG165,27.3426785,-50.252056,0.02985483,2.02e+20
95,SWIFTJ0151.3-3610,ESO354-4,27.9244134,-36.187829,0.03329414,1.62e+20
96,SWIFTJ0152.8-0329,MCG-1-5-47,28.2043279,-3.446844,0.01673337,2.96e+20
97,SWIFTJ0154.9-2707,2MASSiJ0154403-270701,28.6679935,-27.117034,0.15101848,1.6e+20
98,SWIFTJ0155.4+0228,RBS255,28.8539726,2.4712572,0.08471856,3.03e+20
99,SWIFTJ0157.2+4715,LEDA2295246,29.2956399,47.2664508,0.04827464,1.69e+21
101,SWIFTJ0200.3+2428,UGC1479,30.0793962,24.4738372,0.01690303,1.02e+21
102,SWIFTJ0201.0-0648,NGC788,30.2769167,-6.8158862,0.01365372,2.29e+20
103,SWIFTJ0202.4+6824A,LEDA89913,30.5723165,68.3626549,0.01183587,5.17e+21
104,SWIFTJ0202.4+6824B,LEDA137972,30.384773,68.4060751,0.0120279,5.18e+21
105,SWIFTJ0203.1-2359,RBS273,30.7539409,-24.036751,0.17806566,1.68e+20
106,SWIFTJ0206.2-0019,Mrk1018,31.5666194,-0.2914554,0.04263127,2.67e+20
107,SWIFTJ0207.0+2931,LEDA8076,31.7591853,29.5127814,0.10957621,6.59e+20
110,SWIFTJ0208.2+4452,UGC1609,31.9649507,44.8439997,0.02166633,1.11e+21
111,SWIFTJ0208.5-1738,2MASSJ02083494-1739347,32.1456037,-17.659656,0.12909222,2.79e+20
112,SWIFTJ0209.5-1010,NGC835,32.3368516,-10.133077,0.0133448,2.73e+20
113,SWIFTJ0209.7+5226,LEDA138501,32.4058661,52.4443457,0.04971189,2.32e+21
114,SWIFTJ0211.1-4944,Fairall377,32.718895,-49.698523,0.04755424,1.79e+20
115,SWIFTJ0213.7+5147,2MASXJ02141794+5144520,33.5747538,51.747763,0.04976134,2.23e+21
116,SWIFTJ0214.6-0049,Mrk590,33.6398451,-0.7667201,0.02647065,2.93e+20
117,SWIFTJ0214.9-6432,RBS295,33.655843,-64.5014,0.07407978,3.07e+20
118,SWIFTJ0215.6-1301,3C62,33.9059265,-12.99174,0.14797725,1.79e+20
119,SWIFTJ0216.3+5128,2MASSJ02162672+5125251,34.1116052,51.4235729,0.42229969,2.2e+21
120,SWIFTJ0218.0+7348,[HB89]0212+735,34.3784913,73.8257243,2.34623321,3.94e+21
121,SWIFTJ0222.6+5222,1RXSJ022206.0+522112,35.5263788,52.3516455,0.19759449,2.65e+21
122,SWIFTJ0222.3+2509,2MASXJ02223523+2508143,35.6467456,25.1374468,0.06160742,8.07e+20
123,SWIFTJ0223.4+4551,2MASXJ02233309+4549162,35.8878154,45.8211765,0.06134329,1.55e+21
124,SWIFTJ0225.0-2312,LEDA2823078,36.2617486,-23.213451,0.23202231,1.8e+20
125,SWIFTJ0225.0+1847,RBS0315,36.2694267,18.7801554,2.66907401,1.68e+21
126,SWIFTJ0225.8-6315,Fairall296,36.2875824,-63.223985,0.05705908,2.69e+20
127,SWIFTJ0226.4-2821,AM0224-283,36.6071557,-28.349681,0.05985092,1.77e+20
128,SWIFTJ0227.0+2346,MCG+4-6-43,36.7275161,23.7996621,0.03338717,1.08e+21
129,SWIFTJ0228.1+3118,Mrk1040,37.0603048,31.3115385,0.01630788,8.84e+20
130,SWIFTJ0230.2-0900,Mrk1044,37.5230272,-8.9981209,0.01727102,3.59e+20
131,SWIFTJ0231.6-3645,IC1816,37.9624064,-36.672124,0.01664977,2.82e+20
132,SWIFTJ0232.8+2020,QSOB0229+200,38.2024999,20.2881295,0.1397137,1.16e+21
133,SWIFTJ0234.1+3233,NGC973,38.5837874,32.5057187,0.01566031,9.27e+20
134,SWIFTJ0234.6-0848,NGC985,38.6576352,-8.7877916,0.04302233,3.46e+20
135,SWIFTJ0235.3-2934,ESO416-2,38.8060701,-29.604787,0.05923204,1.79e+20
136,SWIFTJ0238.2-5213,ESO198-24,39.5821531,-52.192308,0.04526328,3.26e+20
137,SWIFTJ0238.5-6119,2MASXJ02384313-6117227,39.6796489,-61.289551,0.05430858,2.6e+20
138,SWIFTJ0238.8-4039,LEDA74091,39.7040792,-40.643902,0.06130542,2.03e+20
140,SWIFTJ0241.3-0816,NGC1052,40.2700061,-8.2557579,0.00451945,3.06e+20
141,SWIFTJ0241.6+0711,Mrk595,40.3953004,7.1871611,0.02730802,1.04e+21
142,SWIFTJ0242.0+0516,IRAS02394+0457,40.5159153,5.1683819,0.07047955,6.64e+20
143,SWIFTJ0242.2+0531,RHS15,40.5609879,5.5099865,0.06965624,6.92e+20
144,SWIFTJ0242.6+0000,NGC1068,40.6696,-0.0132865,0.00348372,3.22e+20
145,SWIFTJ0243.9+5324,LEDA2442097,41.0124898,53.4745149,0.03519049,4.08e+21
146,SWIFTJ0244.7-2433,ESO479-31,41.1988416,-24.513846,0.02299736,1.89e+20
147,SWIFTJ0244.8+6227,Q0241+622,41.2403957,62.4684768,0.04468577,8.11e+21
148,SWIFTJ0245.2+1047,4C+10.08,41.3061407,10.7896717,0.06961121,1.67e+21
149,SWIFTJ0249.1+2627,LEDA89928,42.2472632,26.5110089,0.05855378,1.53e+21
150,SWIFTJ0250.4+4648,2MASXJ02502722+4647295,42.6132932,46.7914752,0.02195138,2.36e+21
151,SWIFTJ0251.3+5441,LEDA166445,42.6773797,54.7048487,0.01527144,5.5e+21
152,SWIFTJ0250.7+4142,NGC1106,42.668669,41.6716011,0.01439348,1.08e+21
153,SWIFTJ0251.6-1639,NGC1125,42.9185624,-16.650642,0.01111931,2.85e+20
154,SWIFTJ0252.1-6758,2MASXJ02513173-6803059,42.8825517,-68.051577,0.18263004,4.92e+20
155,SWIFTJ0252.3+4312,LEDA90641,43.1417238,43.1674413,0.05136692,1.34e+21
156,SWIFTJ0252.7-0822,MCG-2-8-14,43.0975085,-8.5103004,0.0167424,5.14e+20
157,SWIFTJ0255.2-0011,NGC1142,43.8007801,-0.18372,0.02869937,7.36e+20
159,SWIFTJ0256.4-3212,ESO417-6,44.0897294,-32.185629,0.01679043,2.54e+20
161,SWIFTJ0259.9+4419,2MASXJ02593756+4417180,44.9063656,44.2883253,0.03129124,2.18e+21
162,SWIFTJ0300.0-1048,MCG-2-8-38,45.0179912,-10.824606,0.03305202,6.42e+20
163,SWIFTJ0304.1-0108,NGC1194,45.9545984,-1.1037141,0.0135689,7.97e+20
164,SWIFTJ0308.5-7251,ESO31-8,46.8972713,-72.834044,0.02778176,7.71e+20
165,SWIFTJ0308.2-2258,NGC1229,47.0451415,-22.960234,0.03561515,1.83e+20
166,SWIFTJ0311.1+3241,2MASXJ03104435+3239296,47.6848859,32.658076,0.12516041,2.04e+21
167,SWIFTJ0311.5-2045,HE0309-2057,47.8283651,-20.771699,0.06657462,2.22e+20
168,SWIFTJ0311.8-7653,[HB89]0312-770,47.9802135,-76.864109,0.22550694,1.17e+21
169,SWIFTJ0311.9+5032,2MASXJ03120291+5029147,48.0123804,50.4873892,0.06150004,4.74e+21
170,SWIFTJ0312.9+4121,QSOB0309+411,48.2581728,41.3336849,0.13445619,1.69e+21
171,SWIFTJ0317.2+0116,UGC2638,49.2590295,1.2550112,0.02374398,9.86e+20
172,SWIFTJ0318.7+6828,2MASXJ03181899+6829322,49.5795565,68.4922102,0.09057619,4.52e+21
173,SWIFTJ0319.7+4132,NGC1275,49.9506711,41.5117309,0.01681333,2.07e+21
174,SWIFTJ0324.8+3410,1H0323+342,51.1714997,34.179396,0.06258132,2.17e+21
175,SWIFTJ0325.0-4154,LEDA12773,51.2594836,-41.904887,0.05879196,1.29e+20
176,SWIFTJ0324.9+4044,LEDA97012,51.3039697,40.6980184,0.04724702,2.35e+21
178,SWIFTJ0326.0-5633,2MASXJ03252346-5635443,51.3480461,-56.595725,0.06014987,2.18e+20
179,SWIFTJ0328.4-2846,LEDA738553,52.152142,-28.698871,0.10860469,9.98e+19
180,SWIFTJ0331.3+0538,HS0328+0528,52.7174101,5.6404204,0.04478192,2.04e+21
182,SWIFTJ0331.4-0510,MCG-1-9-45,52.8459867,-5.1416815,0.01300923,4.4e+20
183,SWIFTJ0333.3+3720,2MASXJ03331873+3718107,53.3282645,37.3030964,0.05574973,2.7e+21
184,SWIFTJ0333.6-3607,NGC1365,53.4016964,-36.140186,0.0050906,1.39e+20
185,SWIFTJ0334.4-1515,LEDA2816367,53.6020373,-15.227707,0.03480759,7.26e+20
187,SWIFTJ0335.4+1907,2MASXJ03352254+1907282,53.844059,19.1246913,0.18956946,1.89e+21
188,SWIFTJ0336.6+3217,4C+32.14,54.1254742,32.3081458,1.2594,2.66e+21
189,SWIFTJ0342.0-2115,ESO548-81,55.5154676,-21.24431,0.0143769,2.53e+20
190,SWIFTJ0345.2-3935,Tol0343-397,56.3022006,-39.574805,0.04285909,3e+20
191,SWIFTJ0347.0-3027,HE0345-3033,56.7727202,-30.397479,0.09464724,1.02e+20
192,SWIFTJ0349.2-1159,QSOB0347-121,57.3466226,-11.990914,0.18772387,3.58e+20
193,SWIFTJ0350.1-5019,ESO201-4,57.5957829,-50.302613,0.03601558,1.2e+20
194,SWIFTJ0351.7-4030,Fairall1116,57.9237453,-40.466465,0.05867176,2.54e+20
195,SWIFTJ0353.4-6830,PKS0352-686,58.2395091,-68.521406,0.08849301,8.31e+20
196,SWIFTJ0353.7+3711,LEDA213255,58.4269629,37.2354564,0.01851867,3.08e+21
197,SWIFTJ0354.2+0250,HE0351+0240,58.5394343,2.825173,0.03555016,2.27e+21
199,SWIFTJ0357.5-6255,LEDA2816387,59.0831863,-62.86089,0.10750395,3.51e+20
200,SWIFTJ0356.9-4041,2MASXJ03565655-4041453,59.2355263,-40.696078,0.07420478,1.91e+20
201,SWIFTJ0357.6+4153,2MASXJ03574513+4155049,59.4380571,41.9181173,0.0517996,4.45e+21
202,SWIFTJ0359.0-3015A,SARS059.33488-30.34397,59.8354003,-30.20269,0.09745205,9.71e+19
203,SWIFTJ0359.0-3015B,SARS059.28692-30.44439,59.7867976,-30.302943,0.09383273,9.67e+19
204,SWIFTJ0359.7+5058,4C+50.11,59.8739231,50.9639641,1.5187,8.36e+21
205,SWIFTJ0402.4-1807,ESO549-49,60.6070054,-18.04758,0.02625471,1.74e+20
206,SWIFTJ0404.0-3604,PKS0402-362,60.9739541,-36.083861,1.4232,6.09e+19
207,SWIFTJ0405.3-3707,Fairall1119,61.2570879,-37.187575,0.05493761,6.39e+19
208,SWIFTJ0405.5-1307,[HB89]0403-132,61.3916785,-13.137132,0.57034355,4.82e+20
209,SWIFTJ0407.4+0339,3C105,61.8186282,3.707181,0.08836992,2.2e+21
210,SWIFTJ0413.3+1659,MG1J041325+1659,63.3430189,16.9975211,0.21154103,2.99e+21
212,SWIFTJ0413.8+1112,3C109,63.4180893,11.2041342,0.30662767,2.88e+21
213,SWIFTJ0414.8-0754,IRAS04124-0803,63.7194237,-7.9276956,0.03824158,6.69e+20
214,SWIFTJ0418.3+3800,3C111,64.5886425,38.0266014,0.04974667,4.35e+21
216,SWIFTJ0420.0-5457,NGC1566,65.0016418,-54.937944,0.00473963,8.82e+19
217,SWIFTJ0422.7-5611,Fairall302,65.6002592,-56.225634,0.04392442,1.38e+20
218,SWIFTJ0423.5+0414,LEDA15023,65.9198498,4.1338362,0.04642256,2.24e+21
220,SWIFTJ0426.2-5711,RBS542,66.5030053,-57.200506,0.10410067,1.31e+20
221,SWIFTJ0427.6-1201,MCG-2-12-17,66.7558627,-12.059491,0.03258524,4.1e+20
223,SWIFTJ0428.2-6704B,2MASXJ04294735-6703205,67.4475784,-67.055521,0.06484813,4.48e+20
224,SWIFTJ0429.6-2114,LEDA135180,67.4096061,-21.162164,0.07000987,2.25e+20
226,SWIFTJ0433.0+0521,3C120,68.2962182,5.3543204,0.0331358,1.94e+21
227,SWIFTJ0433.5-5846,2MASXJ04332716-5843346,68.3632771,-58.726075,0.10260919,1.31e+20
228,SWIFTJ0436.3-1022,Mrk618,69.0928942,-10.376089,0.03461541,5.82e+20
229,SWIFTJ0437.4-4713,HE0436-4717,69.3673189,-47.191514,0.05145175,1.05e+20
230,SWIFTJ0438.2-1048,MCG-2-12-50,69.5591165,-10.795848,0.03589745,5.62e+20
231,SWIFTJ0440.2-5941,LEDA15768,69.9960026,-59.68159,0.05805314,1.86e+20
232,SWIFTJ0440.9+2741,2MASXJ04404770+2739466,70.1987764,27.6630253,0.03638922,3.14e+21
234,SWIFTJ0441.2-2704,IRAS04392-2713,70.343888,-27.138695,0.08414478,2.92e+20
235,SWIFTJ0441.8-0823,RHS25,70.4752976,-8.4427681,0.04327938,8.14e+20
236,SWIFTJ0443.9+2856,UGC3142,70.9450084,28.9719194,0.02183221,3.18e+21
237,SWIFTJ0444.1+2813,LEDA86269,71.0375969,28.2168791,0.01052878,3.2e+21
238,SWIFTJ0445.0-2816,LEDA745026,71.1571217,-28.165101,0.14747949,2.72e+20
239,SWIFTJ0446.4+1828,UGC3157,71.6236264,18.4608627,0.01566845,3.08e+21
240,SWIFTJ0449.6-5515,2MASXJ04500193-5512404,72.508206,-55.211205,0.02157559,1.21e+20
242,SWIFTJ0451.4-0346,MCG-1-13-25,72.9229684,-3.8093435,0.01546645,4.08e+20
243,SWIFTJ0450.7-5813,RBS594,72.9334041,-58.183432,0.09001808,1.6e+20
244,SWIFTJ0452.2+4933,LEDA168563,73.019859,49.5457929,0.02832856,5.89e+21
245,SWIFTJ0453.4+0404,Z420-15,73.3572496,4.0616296,0.02958696,8.36e+20
246,SWIFTJ0454.6-4315,LEDA146662,73.6787366,-43.23965,0.08661748,1.21e+20
247,SWIFTJ0456.3-7532,ESO33-2,73.9954591,-75.54118,0.01844622,1.26e+21
249,SWIFTJ0459.9+2703,LEDA1797736,74.9836909,27.1005948,0.06096758,4.54e+21
250,SWIFTJ0459.7+3502,LEDA168924,74.9867197,35.048438,0.0443829,5.1e+21
252,SWIFTJ0502.1+0332,LEDA75258,75.5377011,3.5305335,0.01588625,8.71e+20
254,SWIFTJ0503.0+2302,LEDA97068,75.7426167,22.9977161,0.05816045,3.64e+21
256,SWIFTJ0504.6-7345,2MASXJ05043414-7349269,76.1427963,-73.824242,0.04491376,1.75e+21
257,SWIFTJ0505.6-6735,2MASXJ05052442-6734358,76.3514606,-67.5765,0.04651697,2.93e+21
258,SWIFTJ0505.8-2351,LEDA178130,76.4405341,-23.853913,0.03515524,2.35e+20
259,SWIFTJ0507.7+6732,87GB050246.4+673341,76.9840357,67.623431,0.314,1.4e+21
260,SWIFTJ0508.1+1727,2MASXJ05081967+1721483,77.0821115,17.3633468,0.01735727,3.11e+21
261,SWIFTJ0510.7+1629,IRAS05078+1626,77.6897199,16.4994853,0.01735243,3.15e+21
262,SWIFTJ0512.1-1830,ESO553-22,77.9908483,-18.493895,0.04204435,4.12e+20
263,SWIFTJ0513.8+6627,Z307-7,78.3184305,66.4639674,0.01510169,1.4e+21
265,SWIFTJ0515.3+1854,2MASXJ05151978+1854515,78.8323095,18.9143812,0.02355094,3.64e+21
266,SWIFTJ0516.2-0009,Ark120,79.0475231,-0.1497602,0.03256885,1.4e+21
267,SWIFTJ0516.3+1928,LEDA97085,79.0946865,19.4531489,0.01900098,3.66e+21
268,SWIFTJ0516.4-1034,MCG-2-14-9,79.0883956,-10.561507,0.02805341,1.41e+21
269,SWIFTJ0501.9-3239,ESO362-18,79.8992349,-32.657752,0.01246008,1.84e+20
270,SWIFTJ0519.5-4545,PictorA,79.957179,-45.778844,0.0349747,3.49e+20
272,SWIFTJ0521.0-2522,IRAS05189-2524,80.2558208,-25.362564,0.04089978,1.8e+20
273,SWIFTJ0519.5-3140,PKS0521-36,80.7415878,-36.458572,0.05544933,4.06e+20
274,SWIFTJ0524.1-1210,LEDA17233,81.0287884,-12.169133,0.04918616,1.48e+21
276,SWIFTJ0525.1-2339,PMNJ0525-2338,81.2770931,-23.636329,3.10924687,2.45e+20
277,SWIFTJ0525.3-4600,ESO253-G003,81.3254586,-46.005628,0.04210457,4.03e+20
279,SWIFTJ0526.2-2118,ESO553-43,81.6136329,-21.286577,0.02779501,3.9e+20
280,SWIFTJ0528.1-3933,LEDA17320,82.0084974,-39.579099,0.03672705,2.15e+20
282,SWIFTJ0530.8+1333,PKS0528+134,82.7350444,13.532022,2.06405597,3.84e+21
285,SWIFTJ0532.9+1343,2MASXJ05325752+1345092,83.2396389,13.752513,0.02398384,3.76e+21
286,SWIFTJ0533.9-1318,MCG-2-15-4,83.4589902,-13.355151,0.02881555,1.33e+21
291,SWIFTJ0535.4+4013,IRAS05320+4009,83.8838553,40.1877323,0.01994829,5.17e+21
296,SWIFTJ0539.9-2839,[HB89]0537-286,84.976174,-28.665556,3.10620026,2.39e+20
301,SWIFTJ0543.9-2749,ESO424-12,85.887329,-27.651423,0.00971623,2.35e+20
302,SWIFTJ0544.4-4328,2MASXJ05440009-4325265,86.0003568,-43.424133,0.04419965,4.51e+20
303,SWIFTJ0544.4+5909,2MASXJ05442257+5907361,86.0940233,59.1266776,0.06761591,2.68e+21
304,SWIFTJ0547.3+5042,LEDA97119,86.8120871,50.6403706,0.03555554,2.78e+21
305,SWIFTJ0548.4-4748,LEDA17883,87.1184332,-47.758755,0.05030707,6.27e+20
306,SWIFTJ0550.7-3212A,PKS0548-322,87.6690369,-32.271198,0.06890446,2.88e+20
308,SWIFTJ0552.2-0727,NGC2110,88.0474074,-7.456243,0.00749958,2.98e+21
309,SWIFTJ0552.5+5929,IRAS05480+5927,88.1173509,59.476937,0.05806583,1.95e+21
310,SWIFTJ0554.8+4625,UGC3374,88.7233595,46.4393815,0.02015483,2.97e+21
311,SWIFTJ0555.5+3946,[HB89]0552+398,88.8783436,39.8136407,2.35394037,4.16e+21
313,SWIFTJ0557.9-3822,H0557-385,89.5085623,-38.334563,0.03310493,4.26e+20
314,SWIFTJ0559.8-5028,Q0558-504,89.9474604,-50.447783,0.13750813,3.9e+20
315,SWIFTJ0600.7+0008,IRAS05581+0006,90.1671369,0.1051279,0.11443525,3.62e+21
316,SWIFTJ0602.2+2829,IRAS05589+2828,90.5436358,28.472074,0.03309351,4.81e+21
317,SWIFTJ0602.5+6518,UGC3386,90.6582872,65.3712345,0.0148631,1.22e+21
318,SWIFTJ0606.0-2755,2MASXJ06054896-2754398,91.4540046,-27.911134,0.08969978,2.63e+20
319,SWIFTJ0601.9-8636,ESO5-4,91.4218863,-86.631625,0.00616229,1.53e+21
320,SWIFTJ0609.5-6245A,2MASXJ06100652-6243125,92.5272683,-62.720088,0.15747484,5.24e+20
321,SWIFTJ0609.5-6245B,LEDA2816519,92.1613084,-62.787855,0.09917274,5.26e+20
323,SWIFTJ0612.2-4645,PMNJ0612-4647,93.1121548,-46.788457,0.31776724,4.9e+20
325,SWIFTJ0615.8+7101,Mrk3,93.901482,71.0374823,0.01382229,1.55e+21
327,SWIFTJ0623.3-6438,2MASXJ06230765-6436211,95.7820766,-64.605747,0.127714,4.7e+20
328,SWIFTJ0623.8+6445,1RXSJ062334.6+644542,95.8963462,64.7601502,0.08649497,1.06e+21
329,SWIFTJ0623.9-6058,ESO121-28,95.9398061,-60.979009,0.0404589,4.83e+20
330,SWIFTJ0623.8-3215,ESO426-2,95.943403,-32.216489,0.02243681,4.52e+20
333,SWIFTJ0626.6+0729,LEDA136513,96.6125745,7.4579986,0.04244714,6.68e+21
334,SWIFTJ0626.6-3702,6dFJ0626585-370559,96.7441432,-37.099596,0.03854164,9.11e+20
335,SWIFTJ0630.7+6342,UGC3478,98.1965553,63.6737054,0.01271338,9.25e+20
337,SWIFTJ0632.8+6343,VIIZw73,97.6064767,63.6781298,0.04041727,9.36e+20
338,SWIFTJ0634.7-7445,2MASSJ06340353-7446377,98.5148433,-74.777127,0.11180437,1.14e+21
340,SWIFTJ0635.8-7514,PKS0637-752,98.9438314,-75.27132,0.65420709,1.08e+21
342,SWIFTJ0640.4-2554,ESO490-26,100.048706,-25.895283,0.02524503,1.43e+21
343,SWIFTJ0640.0-4737,SWIFTJ064013.50-474132.9,100.056201,-47.692985,0.05724162,8.28e+20
