cntr_01,dist_x,pang_x,ra_01,dec_01,reqkey,tn,object,ra,dec,irac8,irac8u,iras12,iras12u,irs16,irs16u,irs22,irs22u,mips24,mips24u,iras25,iras25u,mips24_irac8,mips24_irs16,irs16_irac8,iras25_iras12,ra_sl,dec_sl,pa_sl,ra_ll,dec_ll,pa_ll,date_obs,campname,bandpass,oflag,ratio_sl2_sl1,ratio_sl1_ll2,ratio_ll2_ll1,ra_rqst,dec_rqst,ra_del,dec_del,width_sl2,width_sl1,width_ll2,width_ll1,xtable,enhid,campid,obsrvr,progid,wave_min,wave_max
11,null,null,6.3850302000E+00,6.8362439400E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12,null,null,6.6694697000E+00,-5.3163275000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
13,0.907909,-142.844229,7.3070965000E+00,1.3267761000E+01,10449408,1,PG0026+129,7.30694,13.26756,1.653E-02,3.074E-04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7.30694,13.26756,146.72144,null,null,null,2005-08-10 21:41:35,IRSX007300,IRS Merged 5.217-14.22um,3,0.992,null,null,7.30667,13.26750,0.00027,0.00006,2.74,2.82,null,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX007300/r10449408/enhanced/SPITZER_S5_10449408_01_merge.tbl"">Table spectrum</a><br />",2658,860,"Veilleux, Sylvain",3187,5.21725,14.22932
14,null,null,7.6826262000E+00,-5.9007215000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
15,null,null,8.3264422000E+00,6.1462015300E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
16,null,null,8.5700402000E+00,-7.9088963000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
17,null,null,8.6366190000E+00,-4.4034229000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
18,null,null,8.9693118000E+00,5.9834537300E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19,null,null,9.0872635000E+00,4.5664899700E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
20,null,null,9.6338116000E+00,2.3613407600E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
21,null,null,1.0166178300E+01,2.4760937400E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
22,0.190489,-47.128710,1.0720042300E+01,-2.3541046000E+01,20342016,2,NGC 0232,10.72000,-23.54101,5.932E-02,9.510E-04,8.840E-02,1.650E-03,1.925E-01,3.407E-03,3.647E-01,6.283E-03,3.867E-01,7.275E-03,4.003E-01,7.165E-03,6.5189,2.0088,3.2451,4.5283,10.72000,-23.54101,-44.56403,10.71992,-23.54098,-128.30403,2006-12-17 18:14:28,IRSX007700,IRS Merged 5.217-37.86um,15,0.643,0.758,0.887,10.72008,-23.54106,-0.00008,0.00004,3.11,3.19,6.72,8.74,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX007700/r20342016/enhanced/SPITZER_S5_20342016_02_merge.tbl"">Table spectrum</a><br />",10547,1076,"Armus, Lee",30323,5.21725,37.86356
23,null,null,1.0757851400E+01,3.0288777100E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
24,null,null,1.0666287200E+01,3.0297620900E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
25,null,null,1.0786581800E+01,-1.1601037000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
26,null,null,1.1586196100E+01,-4.0097039000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
27,0.250988,136.175894,1.2196423100E+01,3.1956970300E+01,17957376,1,mkn348,12.19648,31.95692,1.535E-01,2.009E-03,2.432E-01,4.316E-03,4.849E-01,8.476E-03,6.426E-01,1.154E-02,6.311E-01,1.228E-02,6.470E-01,1.204E-02,4.1114,1.3015,3.1590,2.6604,12.19648,31.95692,141.90027,12.19650,31.95695,58.16023,2007-08-31 18:25:42,IRSX008400,IRS Merged 5.217-37.86um,15,0.904,0.805,0.974,12.19642,31.95697,0.00005,-0.00005,2.54,2.79,6.72,8.40,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008400/r17957376/enhanced/SPITZER_S5_17957376_01_merge.tbl"">Table spectrum</a><br />",8982,1097,"Fazio, Giovanni",30291,5.21725,37.86356
28,null,null,1.2895911300E+01,2.9401287600E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
29,0.137861,-105.913724,1.2978178600E+01,1.7432920500E+01,14189056,1,pg0049+171,12.97814,17.43291,9.773E-03,3.919E-04,1.296E-02,4.789E-04,1.737E-02,7.477E-04,1.813E-02,1.218E-03,1.610E-02,1.208E-03,1.698E-02,1.174E-03,1.6474,0.9269,1.7773,1.3102,12.97814,17.43291,-27.03704,12.97817,17.43298,-110.77702,2006-01-15 10:35:22,IRSX006100,IRS Merged 5.217-37.86um,15,0.927,1.036,1.127,12.97833,17.43289,-0.00019,0.00002,2.48,2.68,6.55,8.52,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX006100/r14189056/enhanced/SPITZER_S5_14189056_01_merge.tbl"">Table spectrum</a><br />",6314,819,"Ogle, Patrick",20142,5.21725,37.86356
30,null,null,1.3015854000E+01,-2.7396923000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
31,0.267441,141.327621,1.3717168600E+01,2.5427508000E+01,4675072,1,PG0052+251,13.71722,25.42745,2.536E-02,1.445E-03,3.750E-02,1.480E-03,5.415E-02,2.098E-03,7.399E-02,2.933E-03,7.114E-02,2.734E-03,7.009E-02,2.809E-03,2.8052,1.3138,2.1353,1.8691,13.71722,25.42745,-25.74320,13.71722,25.42753,-109.48302,2004-01-04 12:59:59,IRSX002600,IRS Merged 5.217-37.86um,15,1.033,0.943,1.035,13.71733,25.42747,-0.00010,-0.00002,2.54,2.79,6.47,8.17,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX002600/r4675072/enhanced/SPITZER_S5_4675072_01_merge.tbl"">Table spectrum</a><br />",722,708,"Rieke, George",82,5.21725,37.86356
32,null,null,1.4303510800E+01,6.3995250400E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
33,0.336573,-152.329363,1.4972001100E+01,3.1827022800E+01,26482944,1,Mrk 352,14.97195,31.82694,6.779E-03,9.302E-04,1.004E-02,8.576E-04,1.449E-02,1.798E-03,1.629E-02,2.871E-03,1.534E-02,2.510E-03,1.576E-02,2.704E-03,2.2629,1.0587,2.1375,1.5697,14.97195,31.82694,145.02805,14.97205,31.82701,61.28803,2008-09-04 11:05:46,IRSX009500,IRS Merged 5.217-37.86um,15,0.918,0.829,0.976,14.97200,31.82692,-0.00005,0.00002,2.66,2.76,6.80,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX009500/r26482944/enhanced/SPITZER_S5_26482944_01_merge.tbl"">Table spectrum</a><br />",15229,1364,"Weaver, Kimberly",50588,5.21725,37.86356
34,null,null,1.5145680800E+01,-4.7867721000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
35,null,null,1.5351623400E+01,-3.1444828000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
36,null,null,1.5890489700E+01,-6.4652116000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
37,null,null,1.6361732500E+01,-4.2216216000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
38,null,null,1.6408336300E+01,-4.7071687000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
39,null,null,1.6411663700E+01,-1.4270439000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
40,null,null,1.6444578600E+01,-3.4528966000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
41,null,null,1.6688600200E+01,6.6338489000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
42,null,null,1.6915180900E+01,-1.1653119000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
43,0.227549,-153.977092,1.7220308500E+01,1.3337316800E+01,11295744,1,3C33,17.22028,13.33726,2.118E-02,4.901E-04,3.800E-02,8.136E-04,6.902E-02,1.353E-03,9.717E-02,2.108E-03,9.467E-02,2.214E-03,9.690E-02,2.148E-03,4.4698,1.3716,3.2587,2.5500,17.22028,13.33726,-27.29919,17.22033,13.33738,-111.03917,2005-01-11 05:58:42,IRSX004300,IRS Merged 5.217-37.86um,15,0.934,0.931,1.019,17.22021,13.33733,0.00007,-0.00007,2.47,2.85,6.47,8.65,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX004300/r11295744/enhanced/SPITZER_S5_11295744_01_merge.tbl"">Table spectrum</a><br />",3544,765,"Antonucci, Robert",3624,5.21725,37.86356
44,null,null,1.7865162500E+01,-3.8083459000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
45,null,null,1.8344560500E+01,2.5314796300E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
46,null,null,1.8462671000E+01,1.3271750500E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47,null,null,1.8458675900E+01,-1.4845654000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
48,null,null,1.8529212400E+01,-3.2650883000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49,2.117891,-135.833743,1.8603911800E+01,-5.5397048000E+01,26482432,1,NGC 454,18.60319,-55.39747,3.256E-02,1.130E-03,5.617E-02,1.365E-03,1.873E-01,3.641E-03,2.905E-01,5.570E-03,2.964E-01,5.965E-03,3.051E-01,5.948E-03,9.1032,1.5825,5.7525,5.4317,18.60319,-55.39747,131.34817,18.60427,-55.39737,47.60819,2008-07-07 00:28:08,IRSX011400,IRS Merged 5.217-37.86um,15,1.054,0.375,0.926,18.60375,-55.39778,-0.00032,0.00031,3.28,3.13,8.63,7.53,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX011400/r26482432/enhanced/SPITZER_S5_26482432_01_merge.tbl"">Table spectrum</a><br />",15228,1466,"Weaver, Kimberly",50588,5.21725,37.86356
50,null,null,1.9061667800E+01,3.1033841900E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
51,null,null,1.9129788800E+01,-1.2604714000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
52,null,null,2.0464635600E+01,-2.8349368000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
53,null,null,2.0643396300E+01,5.0054978300E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
54,null,null,2.0785978200E+01,3.4346782600E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
55,0.313526,50.837159,2.0976547500E+01,-3.5065445000E+01,18525184,1,NGC526a,20.97663,-35.06539,8.322E-02,1.647E-03,1.496E-01,2.873E-03,2.656E-01,4.801E-03,3.244E-01,6.014E-03,3.119E-01,6.256E-03,3.151E-01,6.076E-03,3.7479,1.1743,3.1915,2.1063,20.97663,-35.06539,152.38837,20.97655,-35.06545,68.64835,2007-08-01 20:12:50,IRSX008300,IRS Merged 5.217-37.86um,15,0.920,0.793,1.006,20.97662,-35.06547,0.00000,0.00008,2.39,2.79,6.13,8.23,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008300/r18525184/enhanced/SPITZER_S5_18525184_01_merge.tbl"">Table spectrum</a><br />",9438,1094,"Gorjian, Varoujan",30572,5.21725,37.86356
56,0.018062,4.737307,2.0940719200E+01,-5.8805775000E+01,4848128,1,Fairall9,20.94072,-58.80577,1.558E-01,2.345E-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20.94072,-58.80577,-42.31505,null,null,null,2003-12-17 07:58:50,IRSX002500,IRS Merged 5.217-14.22um,3,0.922,null,null,20.94075,-58.80569,-0.00002,-0.00007,2.45,2.76,null,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX002500/r4848128/enhanced/SPITZER_S5_4848128_01_merge.tbl"">Table spectrum</a><br />",771,705,"Werner, Michael",86,5.21725,14.22932
57,null,null,2.1111665800E+01,3.3799487000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
58,null,null,2.1483078800E+01,3.5176913000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
59,null,null,2.1491929700E+01,1.5303797500E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
60,0.139227,80.624794,2.1885489600E+01,1.9178833700E+01,14448384,1,Mrk 359,21.88553,19.17884,5.928E-02,1.037E-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21.88553,19.17884,-24.59073,null,null,null,2006-01-15 11:07:08,IRSX006100,IRS Merged 5.217-14.22um,3,0.724,null,null,21.88563,19.17883,-0.00009,0.00001,2.56,2.91,null,null,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX006100/r14448384/enhanced/SPITZER_S5_14448384_01_merge.tbl"">Table spectrum</a><br />",6432,819,"Lutz, Dieter",20241,5.21725,14.22932
61,null,null,2.2028006800E+01,-1.8808629000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62,null,null,2.2101838200E+01,1.6459329200E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
63,null,null,2.2281862900E+01,-6.0645036000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
64,null,null,2.2463234200E+01,-4.2326454000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
65,null,null,2.2588722200E+01,-4.6029149000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
66,null,null,2.2960012200E+01,-3.3119290000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
67,0.542130,62.729522,2.3490353500E+01,-3.6493219000E+01,18945280,1,NGC 612,23.49052,-36.49315,5.153E-02,1.310E-03,5.049E-02,1.287E-03,7.117E-02,1.730E-03,8.659E-02,2.208E-03,9.111E-02,2.256E-03,1.006E-01,2.379E-03,1.7681,1.2802,1.3811,1.9925,23.49052,-36.49315,151.22829,23.49040,-36.49327,67.48828,2007-08-01 20:41:04,IRSX008300,IRS Merged 5.217-37.86um,15,0.413,0.753,0.883,23.49058,-36.49325,-0.00005,0.00010,6.78,7.12,7.50,10.16,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008300/r18945280/enhanced/SPITZER_S5_18945280_01_merge.tbl"">Table spectrum</a><br />",10053,1094,"Weaver, Kimberly",30745,5.21725,37.86356
68,null,null,2.3690138000E+01,-4.5036554000E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
69,null,null,2.4135827700E+01,3.9099775600E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
70,0.185535,-21.352350,2.4654834500E+01,-4.0011438000E+01,18944768,1,ESO 297-018,24.65481,-40.01139,3.213E-02,1.171E-03,5.067E-02,1.338E-03,8.445E-02,1.920E-03,1.091E-01,2.458E-03,1.100E-01,2.505E-03,1.125E-01,2.517E-03,3.4236,1.3025,2.6284,2.2202,24.65481,-40.01139,150.99760,24.65478,-40.01136,67.25761,2007-08-01 20:55:44,IRSX008300,IRS Merged 5.217-37.86um,15,0.748,0.869,0.920,24.65483,-40.01142,-0.00002,0.00003,2.76,2.96,6.55,8.57,"<a href=""/data/SPITZER/Enhanced/IRS/spectra/IRSX008300/r18944768/enhanced/SPITZER_S5_18944768_01_merge.tbl"">Table spectrum</a><br />",10051,1094,"Weaver, Kimberly",30745,5.21725,37.86356
71,null,null,2.4850021200E+01,2.9401964300E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
72,null,null,2.5111671900E+01,-5.3327614000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
73,null,null,2.5490699600E+01,3.9391449000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
74,null,null,2.7248709600E+01,2.1759432900E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
75,null,null,2.7353505000E+01,2.1997350900E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
76,null,null,2.7342678500E+01,-5.0252056000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
77,null,null,2.7924413400E+01,-3.6187829000E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
