Position|E(B-V)_Mean|E(B-V)_Weighted|NHI_Mean|NHI_Weighted|NH2_Mean|NH2_Weighted|NHtot_Mean|NHtot_Weighted|
J 70.47530, -8.44277| 0.093 | 0.097    | 5.90e+20 | 6.01e+20 | 2.00e+20 | 2.13e+20 | 7.90e+20 | 8.14e+20 |
J 70.94501, 28.97192| 0.770 | 0.777    | 1.86e+21 | 1.76e+21 | 1.43e+21 | 1.42e+21 | 3.28e+21 | 3.18e+21 |
J 71.03760, 28.21688| 0.731 | 0.746    | 1.80e+21 | 1.78e+21 | 1.42e+21 | 1.42e+21 | 3.22e+21 | 3.20e+21 |
J 71.15712, -28.16510| 0.031 | 0.032    | 2.41e+20 | 2.47e+20 | 2.42e+19 | 2.56e+19 | 2.65e+20 | 2.72e+20 |
J 71.62363, 18.46086| 0.566 | 0.580    | 1.72e+21 | 1.70e+21 | 1.38e+21 | 1.38e+21 | 3.09e+21 | 3.08e+21 |
J 72.50821, -55.21120| 0.012 | 0.012    | 1.20e+20 | 1.17e+20 | 4.09e+18 | 3.82e+18 | 1.25e+20 | 1.21e+20 |
J 72.92297, -3.80934| 0.040 | 0.040    | 3.55e+20 | 3.59e+20 | 4.85e+19 | 4.92e+19 | 4.03e+20 | 4.08e+20 |
J 72.93340, -58.18343| 0.016 | 0.017    | 1.41e+20 | 1.53e+20 | 6.54e+18 | 7.83e+18 | 1.48e+20 | 1.60e+20 |
J 73.01986, 49.54579| 0.760 | 0.790    | 4.46e+21 | 4.45e+21 | 1.44e+21 | 1.44e+21 | 5.90e+21 | 5.89e+21 |
J 73.35725, 4.06163 | 0.072 | 0.073    | 6.72e+20 | 6.59e+20 | 1.78e+20 | 1.77e+20 | 8.49e+20 | 8.36e+20 |
J 73.67874, -43.23965| 0.011 | 0.012    | 1.16e+20 | 1.17e+20 | 3.67e+18 | 3.77e+18 | 1.20e+20 | 1.21e+20 |
J 73.99546, -75.54118| 0.106 | 0.113    | 9.24e+20 | 8.95e+20 | 3.53e+20 | 3.62e+20 | 1.28e+21 | 1.26e+21 |
J 74.98369, 27.10059| 0.950 | 1.028    | 2.92e+21 | 3.10e+21 | 1.44e+21 | 1.44e+21 | 4.36e+21 | 4.54e+21 |
J 74.98672, 35.04844| 0.893 | 0.894    | 3.62e+21 | 3.66e+21 | 1.44e+21 | 1.44e+21 | 5.06e+21 | 5.10e+21 |
J 75.53770, 3.53053 | 0.062 | 0.062    | 7.18e+20 | 7.11e+20 | 1.63e+20 | 1.60e+20 | 8.81e+20 | 8.71e+20 |
J 75.74262, 22.99772| 0.441 | 0.452    | 2.28e+21 | 2.26e+21 | 1.39e+21 | 1.39e+21 | 3.67e+21 | 3.64e+21 |
J 76.14280, -73.82424| 0.112 | 0.113    | 1.19e+21 | 1.26e+21 | 4.67e+20 | 4.92e+20 | 1.66e+21 | 1.75e+21 |
J 76.35146, -67.57650| 0.329 | 0.298    | 1.79e+21 | 1.76e+21 | 1.22e+21 | 1.17e+21 | 3.01e+21 | 2.93e+21 |
J 76.44053, -23.85391| 0.034 | 0.034    | 2.13e+20 | 2.12e+20 | 2.38e+19 | 2.33e+19 | 2.37e+20 | 2.35e+20 |
J 76.98404, 67.62343| 0.160 | 0.154    | 9.37e+20 | 9.10e+20 | 5.16e+20 | 4.86e+20 | 1.45e+21 | 1.40e+21 |
J 77.08211, 17.36335| 0.368 | 0.369    | 1.84e+21 | 1.84e+21 | 1.27e+21 | 1.28e+21 | 3.11e+21 | 3.11e+21 |
J 77.68972, 16.49949| 0.345 | 0.349    | 1.88e+21 | 1.88e+21 | 1.26e+21 | 1.26e+21 | 3.14e+21 | 3.15e+21 |
J 77.99085, -18.49389| 0.050 | 0.049    | 3.58e+20 | 3.51e+20 | 6.24e+19 | 6.04e+19 | 4.21e+20 | 4.12e+20 |
J 78.31843, 66.46397| 0.167 | 0.153    | 9.32e+20 | 9.12e+20 | 5.33e+20 | 4.84e+20 | 1.46e+21 | 1.40e+21 |
J 78.83231, 18.91438| 0.502 | 0.524    | 2.23e+21 | 2.23e+21 | 1.40e+21 | 1.41e+21 | 3.64e+21 | 3.64e+21 |
J 79.04752, -0.14976| 0.126 | 0.123    | 1.01e+21 | 9.78e+20 | 4.45e+20 | 4.27e+20 | 1.45e+21 | 1.40e+21 |
J 79.09469, 19.45315| 0.564 | 0.550    | 2.29e+21 | 2.25e+21 | 1.42e+21 | 1.41e+21 | 3.71e+21 | 3.66e+21 |
J 79.08840, -10.56151| 0.146 | 0.152    | 8.94e+20 | 9.24e+20 | 4.59e+20 | 4.88e+20 | 1.35e+21 | 1.41e+21 |
J 79.89923, -32.65775| 0.018 | 0.018    | 1.79e+20 | 1.75e+20 | 1.00e+19 | 9.36e+18 | 1.89e+20 | 1.84e+20 |
J 79.95718, -45.77884| 0.033 | 0.035    | 2.87e+20 | 3.12e+20 | 3.18e+19 | 3.71e+19 | 3.19e+20 | 3.49e+20 |
J 80.25582, -25.36256| 0.026 | 0.026    | 1.65e+20 | 1.66e+20 | 1.35e+19 | 1.36e+19 | 1.79e+20 | 1.80e+20 |
J 80.74159, -36.45857| 0.041 | 0.040    | 3.63e+20 | 3.58e+20 | 5.10e+19 | 4.88e+19 | 4.15e+20 | 4.06e+20 |
J 81.02879, -12.16913| 0.150 | 0.151    | 9.53e+20 | 9.75e+20 | 4.96e+20 | 5.09e+20 | 1.45e+21 | 1.48e+21 |
J 81.27709, -23.63633| 0.031 | 0.031    | 2.23e+20 | 2.22e+20 | 2.27e+19 | 2.27e+19 | 2.46e+20 | 2.45e+20 |
J 81.32546, -46.00563| 0.040 | 0.040    | 3.53e+20 | 3.54e+20 | 4.83e+19 | 4.87e+19 | 4.01e+20 | 4.03e+20 |
J 81.61363, -21.28658| 0.043 | 0.044    | 3.24e+20 | 3.38e+20 | 4.80e+19 | 5.19e+19 | 3.72e+20 | 3.90e+20 |
J 82.00850, -39.57910| 0.021 | 0.021    | 2.06e+20 | 2.02e+20 | 1.36e+19 | 1.34e+19 | 2.19e+20 | 2.15e+20 |
J 82.73504, 13.53202| 0.773 | 0.830    | 2.42e+21 | 2.40e+21 | 1.44e+21 | 1.44e+21 | 3.85e+21 | 3.84e+21 |
J 83.23964, 13.75251| 0.760 | 0.767    | 2.32e+21 | 2.32e+21 | 1.44e+21 | 1.44e+21 | 3.76e+21 | 3.76e+21 |
J 83.45899, -13.35515| 0.145 | 0.143    | 8.82e+20 | 8.82e+20 | 4.50e+20 | 4.45e+20 | 1.33e+21 | 1.33e+21 |
J 83.88386, 40.18773| 0.627 | 0.597    | 3.88e+21 | 3.74e+21 | 1.44e+21 | 1.44e+21 | 5.32e+21 | 5.17e+21 |
J 84.97617, -28.66556| 0.028 | 0.027    | 2.22e+20 | 2.20e+20 | 1.97e+19 | 1.91e+19 | 2.42e+20 | 2.39e+20 |
J 85.88733, -27.65142| 0.028 | 0.028    | 2.11e+20 | 2.16e+20 | 1.92e+19 | 1.96e+19 | 2.31e+20 | 2.35e+20 |
J 86.00036, -43.42413| 0.044 | 0.046    | 3.76e+20 | 3.88e+20 | 5.83e+19 | 6.27e+19 | 4.35e+20 | 4.51e+20 |
J 86.09402, 59.12668| 0.313 | 0.288    | 1.64e+21 | 1.58e+21 | 1.16e+21 | 1.10e+21 | 2.79e+21 | 2.68e+21 |
J 86.81209, 50.64037| 0.252 | 0.247    | 1.70e+21 | 1.72e+21 | 1.06e+21 | 1.06e+21 | 2.76e+21 | 2.78e+21 |
J 87.11843, -47.75876| 0.065 | 0.066    | 4.97e+20 | 5.06e+20 | 1.17e+20 | 1.22e+20 | 6.15e+20 | 6.27e+20 |
J 87.66904, -32.27120| 0.034 | 0.035    | 2.58e+20 | 2.58e+20 | 2.95e+19 | 3.00e+19 | 2.87e+20 | 2.88e+20 |
J 88.04741, -7.45624| 0.511 | 0.465    | 1.66e+21 | 1.66e+21 | 1.35e+21 | 1.32e+21 | 3.01e+21 | 2.98e+21 |
J 88.11735, 59.47694| 0.185 | 0.181    | 1.25e+21 | 1.24e+21 | 7.24e+20 | 7.10e+20 | 1.97e+21 | 1.95e+21 |
J 88.72336, 46.43938| 0.254 | 0.262    | 1.82e+21 | 1.84e+21 | 1.10e+21 | 1.13e+21 | 2.93e+21 | 2.97e+21 |
J 88.87834, 39.81364| 0.488 | 0.499    | 2.82e+21 | 2.73e+21 | 1.42e+21 | 1.42e+21 | 4.25e+21 | 4.16e+21 |
J 89.50856, -38.33456| 0.047 | 0.045    | 3.85e+20 | 3.69e+20 | 6.30e+19 | 5.75e+19 | 4.48e+20 | 4.26e+20 |
J 89.94746, -50.44778| 0.048 | 0.046    | 3.58e+20 | 3.37e+20 | 5.99e+19 | 5.37e+19 | 4.18e+20 | 3.90e+20 |
J 90.16714, 0.10513 | 0.634 | 0.663    | 2.20e+21 | 2.19e+21 | 1.42e+21 | 1.43e+21 | 3.62e+21 | 3.62e+21 |
J 90.54364, 28.47207| 0.480 | 0.473    | 3.47e+21 | 3.37e+21 | 1.43e+21 | 1.43e+21 | 4.91e+21 | 4.81e+21 |
J 90.65829, 65.37123| 0.126 | 0.116    | 8.83e+20 | 8.62e+20 | 3.96e+20 | 3.61e+20 | 1.28e+21 | 1.22e+21 |
J 91.45400, -27.91113| 0.030 | 0.031    | 2.35e+20 | 2.39e+20 | 2.32e+19 | 2.39e+19 | 2.58e+20 | 2.63e+20 |
J 91.42189, -86.63162| 0.147 | 0.147    | 1.01e+21 | 1.02e+21 | 5.14e+20 | 5.15e+20 | 1.53e+21 | 1.53e+21 |
J 92.52727, -62.72009| 0.052 | 0.049    | 4.49e+20 | 4.46e+20 | 8.28e+19 | 7.81e+19 | 5.32e+20 | 5.24e+20 |
J 92.16131, -62.78786| 0.050 | 0.050    | 4.35e+20 | 4.47e+20 | 7.73e+19 | 7.89e+19 | 5.12e+20 | 5.26e+20 |
J 93.11215, -46.78846| 0.059 | 0.057    | 4.19e+20 | 4.08e+20 | 8.76e+19 | 8.23e+19 | 5.07e+20 | 4.90e+20 |
J 93.90148, 71.03748| 0.181 | 0.179    | 9.52e+20 | 9.67e+20 | 5.81e+20 | 5.81e+20 | 1.53e+21 | 1.55e+21 |
J 95.78208, -64.60575| 0.058 | 0.059    | 3.87e+20 | 3.89e+20 | 8.02e+19 | 8.13e+19 | 4.68e+20 | 4.70e+20 |
J 95.89635, 64.76015| 0.113 | 0.111    | 7.61e+20 | 7.51e+20 | 3.13e+20 | 3.05e+20 | 1.07e+21 | 1.06e+21 |
J 95.93981, -60.97901| 0.050 | 0.052    | 3.92e+20 | 4.08e+20 | 6.92e+19 | 7.53e+19 | 4.61e+20 | 4.83e+20 |
J 95.94340, -32.21649| 0.050 | 0.050    | 3.87e+20 | 3.84e+20 | 6.87e+19 | 6.73e+19 | 4.55e+20 | 4.52e+20 |
J 96.61257, 7.45800 | 0.684 | 0.687    | 5.25e+21 | 5.24e+21 | 1.44e+21 | 1.44e+21 | 6.69e+21 | 6.68e+21 |
J 96.74414, -37.09960| 0.083 | 0.082    | 7.03e+20 | 6.99e+20 | 2.13e+20 | 2.11e+20 | 9.16e+20 | 9.11e+20 |
J 98.19656, 63.67371| 0.098 | 0.095    | 6.91e+20 | 6.86e+20 | 2.48e+20 | 2.40e+20 | 9.39e+20 | 9.25e+20 |
J 97.60648, 63.67813| 0.099 | 0.098    | 6.91e+20 | 6.89e+20 | 2.50e+20 | 2.48e+20 | 9.42e+20 | 9.36e+20 |
J 98.51484, -74.77713| 0.112 | 0.113    | 8.16e+20 | 8.07e+20 | 3.31e+20 | 3.30e+20 | 1.15e+21 | 1.14e+21 |
J 98.94383, -75.27132| 0.111 | 0.107    | 8.14e+20 | 7.82e+20 | 3.27e+20 | 3.03e+20 | 1.14e+21 | 1.08e+21 |
J 100.04871, -25.89528| 0.101 | 0.095    | 1.11e+21 | 1.07e+21 | 3.98e+20 | 3.65e+20 | 1.51e+21 | 1.43e+21 |
J 100.05620, -47.69299| 0.093 | 0.097    | 5.91e+20 | 6.11e+20 | 2.01e+20 | 2.17e+20 | 7.92e+20 | 8.28e+20 |
J 100.15842, -43.35571| 0.078 | 0.075    | 5.79e+20 | 5.54e+20 | 1.66e+20 | 1.52e+20 | 7.45e+20 | 7.06e+20 |
J 100.32509, 32.82549| 0.159 | 0.159    | 1.61e+21 | 1.59e+21 | 7.81e+20 | 7.73e+20 | 2.39e+21 | 2.36e+21 |
J 101.61085, 53.07555| 0.076 | 0.076    | 7.64e+20 | 7.60e+20 | 2.14e+20 | 2.12e+20 | 9.78e+20 | 9.72e+20 |
J 103.05136, 74.42699| 0.108 | 0.116    | 6.32e+20 | 6.89e+20 | 2.51e+20 | 2.91e+20 | 8.83e+20 | 9.80e+20 |
J 103.64245, 7.05581| 0.286 | 0.286    | 2.85e+21 | 2.91e+21 | 1.34e+21 | 1.34e+21 | 4.19e+21 | 4.25e+21 |
J 103.95636, 40.00032| 0.091 | 0.087    | 9.16e+20 | 8.76e+20 | 3.05e+20 | 2.79e+20 | 1.22e+21 | 1.15e+21 |
J 104.04973, -49.33056| 0.072 | 0.072    | 3.90e+20 | 3.93e+20 | 1.02e+20 | 1.01e+20 | 4.92e+20 | 4.94e+20 |
J 104.79448, 24.02784| 0.063 | 0.066    | 7.82e+20 | 8.03e+20 | 1.81e+20 | 1.96e+20 | 9.63e+20 | 9.98e+20 |
J 105.29261, -32.58138| 0.173 | 0.174    | 1.50e+21 | 1.53e+21 | 7.90e+20 | 8.02e+20 | 2.29e+21 | 2.33e+21 |
J 106.80455, 64.59972| 0.046 | 0.045    | 4.05e+20 | 3.90e+20 | 6.53e+19 | 6.07e+19 | 4.70e+20 | 4.51e+20 |
J 107.18024, -46.71363| 0.113 | 0.114    | 6.28e+20 | 6.42e+20 | 2.60e+20 | 2.67e+20 | 8.88e+20 | 9.09e+20 |
J 107.30215, -15.45100| 0.688 | 0.686    | 5.73e+21 | 5.81e+21 | 1.44e+21 | 1.44e+21 | 7.17e+21 | 7.25e+21 |
J 107.30876, -36.02276| 0.360 | 0.426    | 1.68e+21 | 1.70e+21 | 1.23e+21 | 1.30e+21 | 2.91e+21 | 3.00e+21 |
J 107.62527, 59.13899| 0.047 | 0.046    | 4.48e+20 | 4.44e+20 | 7.49e+19 | 7.18e+19 | 5.23e+20 | 5.15e+20 |
J 108.51604, 35.27927| 0.057 | 0.057    | 5.61e+20 | 5.56e+20 | 1.15e+20 | 1.14e+20 | 6.76e+20 | 6.70e+20 |
J 108.56284, 45.69885| 0.088 | 0.087    | 8.54e+20 | 8.64e+20 | 2.74e+20 | 2.75e+20 | 1.13e+21 | 1.14e+21 |
J 108.65410, -25.29030| 0.424 | 0.413    | 3.47e+21 | 3.44e+21 | 1.43e+21 | 1.43e+21 | 4.90e+21 | 4.87e+21 |
J 109.50251, 44.09088| 0.081 | 0.079    | 8.33e+20 | 8.41e+20 | 2.47e+20 | 2.45e+20 | 1.08e+21 | 1.09e+21 |
J 110.97114, -8.10396| 0.330 | 0.309    | 3.57e+21 | 3.46e+21 | 1.41e+21 | 1.39e+21 | 4.98e+21 | 4.86e+21 |
J 111.46098, -0.91572| 0.096 | 0.092    | 1.27e+21 | 1.25e+21 | 4.31e+20 | 4.08e+20 | 1.71e+21 | 1.66e+21 |
J 111.40526, 29.95416| 0.061 | 0.060    | 5.87e+20 | 5.92e+20 | 1.31e+20 | 1.29e+20 | 7.17e+20 | 7.20e+20 |
J 111.60974, -35.90607| 0.356 | 0.364    | 2.57e+21 | 2.60e+21 | 1.37e+21 | 1.37e+21 | 3.94e+21 | 3.97e+21 |
J 111.64725, 37.00077| 0.055 | 0.055    | 5.69e+20 | 5.54e+20 | 1.14e+20 | 1.11e+20 | 6.84e+20 | 6.66e+20 |
J 111.83772, -24.10898| 1.180 | 1.162    | 6.55e+21 | 6.50e+21 | 1.44e+21 | 1.44e+21 | 7.99e+21 | 7.94e+21 |
J 113.28835, 45.91841| 0.090 | 0.089    | 7.15e+20 | 7.30e+20 | 2.36e+20 | 2.38e+20 | 9.51e+20 | 9.68e+20 |
J 113.36163, 51.89887| 0.058 | 0.057    | 5.11e+20 | 5.12e+20 | 1.08e+20 | 1.05e+20 | 6.18e+20 | 6.17e+20 |
J 114.23760, 58.77041| 0.058 | 0.057    | 4.76e+20 | 4.66e+20 | 9.93e+19 | 9.49e+19 | 5.75e+20 | 5.61e+20 |
J 114.93610, -31.71737| 0.698 | 0.632    | 4.51e+21 | 4.31e+21 | 1.44e+21 | 1.44e+21 | 5.95e+21 | 5.75e+21 |
J 115.28836, -54.79604| 0.165 | 0.165    | 9.13e+20 | 8.95e+20 | 5.17e+20 | 5.09e+20 | 1.43e+21 | 1.40e+21 |
J 115.75577, 80.44058| 0.032 | 0.031    | 3.20e+20 | 3.15e+20 | 3.44e+19 | 3.30e+19 | 3.54e+20 | 3.48e+20 |
J 115.63673, 49.80969| 0.071 | 0.070    | 5.34e+20 | 5.27e+20 | 1.39e+20 | 1.34e+20 | 6.73e+20 | 6.61e+20 |
J 115.67376, 65.17710| 0.041 | 0.037    | 3.58e+20 | 3.44e+20 | 5.09e+19 | 4.37e+19 | 4.08e+20 | 3.88e+20 |
J 115.81137, -25.76402| 0.856 | 0.887    | 5.70e+21 | 5.80e+21 | 1.44e+21 | 1.44e+21 | 7.14e+21 | 7.24e+21 |
J 116.03801, 29.24746| 0.040 | 0.038    | 4.02e+20 | 3.83e+20 | 5.51e+19 | 4.99e+19 | 4.57e+20 | 4.33e+20 |
J 116.60779, 25.81731| 0.042 | 0.041    | 4.45e+20 | 4.47e+20 | 6.56e+19 | 6.49e+19 | 5.10e+20 | 5.12e+20 |
J 116.87113, 60.93357| 0.052 | 0.051    | 4.82e+20 | 4.74e+20 | 9.03e+19 | 8.62e+19 | 5.73e+20 | 5.61e+20 |
J 116.90979, -73.43142| 0.283 | 0.307    | 1.34e+21 | 1.39e+21 | 1.00e+21 | 1.06e+21 | 2.34e+21 | 2.46e+21 |
J 118.07435, 19.59510| 0.045 | 0.044    | 3.94e+20 | 3.91e+20 | 6.15e+19 | 6.07e+19 | 4.55e+20 | 4.52e+20 |
J 118.18418, 45.94930| 0.058 | 0.062    | 4.96e+20 | 5.07e+20 | 1.04e+20 | 1.14e+20 | 6.00e+20 | 6.21e+20 |
J 119.57177, 83.94358| 0.048 | 0.050    | 3.78e+20 | 3.86e+20 | 6.42e+19 | 6.75e+19 | 4.42e+20 | 4.53e+20 |
J 119.08175, -41.62837| 0.655 | 0.672    | 3.73e+21 | 3.89e+21 | 1.44e+21 | 1.44e+21 | 5.17e+21 | 5.33e+21 |
J 119.92425, -38.73223| 0.904 | 0.887    | 5.46e+21 | 5.36e+21 | 1.44e+21 | 1.44e+21 | 6.90e+21 | 6.80e+21 |
J 119.97272, 23.39010| 0.056 | 0.058    | 4.70e+20 | 4.66e+20 | 9.48e+19 | 9.68e+19 | 5.64e+20 | 5.63e+20 |
J 120.08740, 26.61351| 0.040 | 0.040    | 3.24e+20 | 3.23e+20 | 4.47e+19 | 4.46e+19 | 3.69e+20 | 3.68e+20 |
J 120.49154, -49.77844| 0.303 | 0.313    | 1.81e+21 | 1.90e+21 | 1.19e+21 | 1.22e+21 | 2.99e+21 | 3.12e+21 |
J 120.86409, 8.69787| 0.022 | 0.021    | 2.88e+20 | 2.81e+20 | 2.02e+19 | 1.89e+19 | 3.08e+20 | 2.99e+20 |
J 121.02438, 5.11385| 0.026 | 0.026    | 3.42e+20 | 3.45e+20 | 2.99e+19 | 3.04e+19 | 3.72e+20 | 3.75e+20 |
J 121.19327, 10.77668| 0.022 | 0.022    | 2.31e+20 | 2.23e+20 | 1.59e+19 | 1.51e+19 | 2.47e+20 | 2.38e+20 |
J 121.22077, -1.14664| 0.032 | 0.031    | 3.55e+20 | 3.41e+20 | 3.90e+19 | 3.60e+19 | 3.94e+20 | 3.77e+20 |
J 121.32558, 61.73993| 0.072 | 0.074    | 4.75e+20 | 4.64e+20 | 1.23e+20 | 1.24e+20 | 5.99e+20 | 5.88e+20 |
J 121.92082, 39.00424| 0.049 | 0.049    | 5.02e+20 | 5.06e+20 | 8.72e+19 | 8.78e+19 | 5.89e+20 | 5.94e+20 |
J 122.74436, 76.04513| 0.032 | 0.034    | 3.00e+20 | 3.16e+20 | 3.16e+19 | 3.58e+19 | 3.31e+20 | 3.51e+20 |
J 123.05838, -40.05667| 1.763 | 1.662    | 7.69e+21 | 7.16e+21 | 1.44e+21 | 1.44e+21 | 9.13e+21 | 8.60e+21 |
J 123.60556, 4.34247| 0.024 | 0.024    | 3.18e+20 | 3.22e+20 | 2.50e+19 | 2.55e+19 | 3.43e+20 | 3.48e+20 |
J 124.45497, 2.84983| 0.027 | 0.028    | 3.28e+20 | 3.40e+20 | 2.93e+19 | 3.19e+19 | 3.57e+20 | 3.71e+20 |
J 124.56113, 1.37422| 0.034 | 0.034    | 3.86e+20 | 3.91e+20 | 4.51e+19 | 4.61e+19 | 4.31e+20 | 4.37e+20 |
J 124.74053, -22.87672| 0.125 | 0.124    | 1.14e+21 | 1.13e+21 | 4.93e+20 | 4.86e+20 | 1.63e+21 | 1.61e+21 |
J 125.75454, -4.93487| 0.045 | 0.044    | 4.60e+20 | 4.66e+20 | 7.27e+19 | 7.32e+19 | 5.33e+20 | 5.39e+20 |
J 127.42781, 41.91024| 0.038 | 0.038    | 3.44e+20 | 3.43e+20 | 4.53e+19 | 4.48e+19 | 3.89e+20 | 3.88e+20 |
J 127.56893, -67.42480| 0.115 | 0.115    | 8.37e+20 | 8.47e+20 | 3.46e+20 | 3.51e+20 | 1.18e+21 | 1.20e+21 |
J 128.10561, 37.12673| 0.037 | 0.037    | 3.31e+20 | 3.33e+20 | 4.15e+19 | 4.16e+19 | 3.73e+20 | 3.74e+20 |
J 129.62821, -35.99260| 0.474 | 0.476    | 3.61e+21 | 3.65e+21 | 1.43e+21 | 1.44e+21 | 5.04e+21 | 5.08e+21 |
J 129.96077, -12.24287| 0.052 | 0.051    | 5.73e+20 | 5.68e+20 | 1.07e+20 | 1.04e+20 | 6.80e+20 | 6.72e+20 |
J 130.00982, 29.81739| 0.050 | 0.051    | 4.17e+20 | 4.23e+20 | 7.42e+19 | 7.65e+19 | 4.91e+20 | 5.00e+20 |
J 130.35150, 70.89506| 0.032 | 0.032    | 2.85e+20 | 2.83e+20 | 3.08e+19 | 3.03e+19 | 3.16e+20 | 3.13e+20 |
J 130.52322, 7.99043| 0.052 | 0.058    | 4.74e+20 | 5.22e+20 | 8.87e+19 | 1.08e+20 | 5.62e+20 | 6.30e+20 |
J 130.93744, 35.82843| 0.034 | 0.035    | 2.90e+20 | 2.90e+20 | 3.35e+19 | 3.41e+19 | 3.24e+20 | 3.24e+20 |
J 131.33905, -35.50672| 0.455 | 0.455    | 2.75e+21 | 2.71e+21 | 1.42e+21 | 1.41e+21 | 4.16e+21 | 4.12e+21 |
J 131.32712, 14.34280| 0.026 | 0.025    | 2.75e+20 | 2.60e+20 | 2.37e+19 | 2.12e+19 | 2.99e+20 | 2.81e+20 |
J 133.62195, -8.40763| 0.033 | 0.032    | 2.97e+20 | 2.92e+20 | 3.27e+19 | 3.16e+19 | 3.30e+20 | 3.23e+20 |
J 133.80242, 64.39595| 0.087 | 0.087    | 4.70e+20 | 4.74e+20 | 1.49e+20 | 1.51e+20 | 6.19e+20 | 6.24e+20 |
J 133.82276, -28.90593| 0.165 | 0.156    | 1.34e+21 | 1.29e+21 | 7.04e+20 | 6.54e+20 | 2.04e+21 | 1.94e+21 |
J 133.90830, 78.22330| 0.024 | 0.024    | 2.14e+20 | 2.18e+20 | 1.61e+19 | 1.69e+19 | 2.30e+20 | 2.35e+20 |
J 134.87702, 44.91396| 0.023 | 0.022    | 2.04e+20 | 1.98e+20 | 1.48e+19 | 1.38e+19 | 2.19e+20 | 2.12e+20 |
J 135.49335, 60.15174| 0.045 | 0.046    | 4.41e+20 | 4.37e+20 | 7.04e+19 | 7.05e+19 | 5.12e+20 | 5.07e+20 |
J 135.66443, -68.22680| 0.098 | 0.099    | 4.69e+20 | 4.63e+20 | 1.69e+20 | 1.67e+20 | 6.38e+20 | 6.31e+20 |
J 135.65548, -48.22605| 3.649 | 3.919    | 8.56e+21 | 8.78e+21 | 1.44e+21 | 1.44e+21 | 1.00e+22 | 1.02e+22 |
J 135.92871, -74.23806| 0.121 | 0.121    | 8.79e+20 | 8.91e+20 | 3.82e+20 | 3.86e+20 | 1.26e+21 | 1.28e+21 |
J 136.15399, 55.60074| 0.019 | 0.019    | 2.17e+20 | 2.16e+20 | 1.27e+19 | 1.24e+19 | 2.30e+20 | 2.29e+20 |
J 137.31647, 3.91189| 0.040 | 0.040    | 2.92e+20 | 2.85e+20 | 3.95e+19 | 3.87e+19 | 3.31e+20 | 3.23e+20 |
J 137.87502, 45.46829| 0.015 | 0.015    | 1.25e+20 | 1.23e+20 | 5.52e+18 | 5.31e+18 | 1.30e+20 | 1.28e+20 |
J 139.03902, -62.32489| 0.208 | 0.201    | 1.58e+21 | 1.58e+21 | 9.20e+20 | 9.02e+20 | 2.50e+21 | 2.48e+21 |
J 139.36338, -64.94085| 0.212 | 0.221    | 1.30e+21 | 1.33e+21 | 8.22e+20 | 8.58e+20 | 2.12e+21 | 2.18e+21 |
J 139.60834, 16.30549| 0.029 | 0.029    | 2.95e+20 | 2.97e+20 | 2.86e+19 | 2.90e+19 | 3.23e+20 | 3.26e+20 |
J 139.98061, 55.36032| 0.026 | 0.026    | 2.82e+20 | 2.92e+20 | 2.41e+19 | 2.46e+19 | 3.06e+20 | 3.16e+20 |
J 139.99148, 37.19104| 0.014 | 0.013    | 1.11e+20 | 1.08e+20 | 4.31e+18 | 4.06e+18 | 1.15e+20 | 1.12e+20 |
J 140.19274, -8.05610| 0.038 | 0.038    | 3.05e+20 | 3.02e+20 | 3.94e+19 | 3.87e+19 | 3.45e+20 | 3.40e+20 |
J 140.91202, -21.59642| 0.066 | 0.065    | 4.71e+20 | 4.65e+20 | 1.12e+20 | 1.10e+20 | 5.84e+20 | 5.75e+20 |
J 140.92915, 22.90906| 0.034 | 0.035    | 3.06e+20 | 3.12e+20 | 3.50e+19 | 3.65e+19 | 3.41e+20 | 3.49e+20 |
J 140.97389, -31.69194| 0.142 | 0.143    | 1.29e+21 | 1.33e+21 | 6.09e+20 | 6.29e+20 | 1.90e+21 | 1.96e+21 |
J 141.57376, -84.35933| 0.173 | 0.173    | 8.42e+20 | 8.26e+20 | 5.03e+20 | 4.95e+20 | 1.35e+21 | 1.32e+21 |
J 141.30355, 52.28622| 0.014 | 0.014    | 1.33e+20 | 1.30e+20 | 5.36e+18 | 5.07e+18 | 1.39e+20 | 1.35e+20 |
J 141.44810, 69.46485| 0.143 | 0.162    | 4.80e+20 | 4.89e+20 | 2.51e+20 | 2.89e+20 | 7.32e+20 | 7.78e+20 |
J 141.51362, 12.73439| 0.035 | 0.036    | 3.17e+20 | 3.22e+20 | 3.75e+19 | 3.96e+19 | 3.55e+20 | 3.61e+20 |
J 141.82710, 23.02008| 0.029 | 0.030    | 2.83e+20 | 2.85e+20 | 2.74e+19 | 2.79e+19 | 3.10e+20 | 3.13e+20 |
J 142.40783, 62.54406| 0.034 | 0.033    | 3.19e+20 | 3.18e+20 | 3.63e+19 | 3.52e+19 | 3.55e+20 | 3.54e+20 |
J 143.68147, -21.92779| 0.063 | 0.062    | 4.20e+20 | 4.06e+20 | 9.45e+19 | 9.05e+19 | 5.15e+20 | 4.96e+20 |
J 143.86287, 26.28602| 0.020 | 0.020    | 1.62e+20 | 1.62e+20 | 9.87e+18 | 9.87e+18 | 1.72e+20 | 1.71e+20 |
