Position|E(B-V)_Mean|E(B-V)_Weighted|NHI_Mean|NHI_Weighted|NH2_Mean|NH2_Weighted|NHtot_Mean|NHtot_Weighted|
J 339.13700, 25.76315| 0.053 | 0.052    | 4.45e+20 | 4.40e+20 | 8.42e+19 | 8.20e+19 | 5.30e+20 | 5.22e+20 |
J 339.19372, -12.54522| 0.064 | 0.064    | 5.15e+20 | 5.35e+20 | 1.20e+20 | 1.24e+20 | 6.35e+20 | 6.59e+20 |
J 340.07113, 8.05377| 0.109 | 0.104    | 6.35e+20 | 6.39e+20 | 2.54e+20 | 2.44e+20 | 8.89e+20 | 8.83e+20 |
J 340.63911, -37.18544| 0.015 | 0.014    | 1.09e+20 | 1.03e+20 | 4.77e+18 | 4.19e+18 | 1.14e+20 | 1.07e+20 |
J 340.58896, -45.65258| 0.010 | 0.010    | 1.06e+20 | 1.07e+20 | 2.90e+18 | 2.99e+18 | 1.09e+20 | 1.10e+20 |
J 341.45301, 39.68776| 0.143 | 0.140    | 9.80e+20 | 9.64e+20 | 4.88e+20 | 4.73e+20 | 1.47e+21 | 1.44e+21 |
J 342.17157, -51.16481| 0.010 | 0.010    | 9.64e+19 | 9.40e+19 | 2.47e+18 | 2.45e+18 | 9.89e+19 | 9.64e+19 |
J 342.18476, 17.45094| 0.078 | 0.077    | 6.17e+20 | 5.99e+20 | 1.77e+20 | 1.68e+20 | 7.95e+20 | 7.68e+20 |
J 342.71548, -8.91578| 0.042 | 0.043    | 3.34e+20 | 3.43e+20 | 4.84e+19 | 5.04e+19 | 3.83e+20 | 3.94e+20 |
J 342.97292, 22.29374| 0.088 | 0.088    | 4.94e+20 | 4.90e+20 | 1.59e+20 | 1.58e+20 | 6.54e+20 | 6.49e+20 |
J 342.94638, -32.10437| 0.019 | 0.019    | 1.34e+20 | 1.31e+20 | 7.31e+18 | 7.30e+18 | 1.41e+20 | 1.39e+20 |
J 343.49061, 16.14825| 0.077 | 0.081    | 6.58e+20 | 6.63e+20 | 1.86e+20 | 1.97e+20 | 8.44e+20 | 8.59e+20 |
J 343.52452, -17.58204| 0.036 | 0.036    | 2.39e+20 | 2.42e+20 | 2.82e+19 | 2.91e+19 | 2.67e+20 | 2.71e+20 |
J 343.68133, 11.71411| 0.095 | 0.098    | 5.12e+20 | 5.13e+20 | 1.78e+20 | 1.84e+20 | 6.90e+20 | 6.97e+20 |
J 343.58196, 11.78257| 0.091 | 0.093    | 5.05e+20 | 5.03e+20 | 1.69e+20 | 1.72e+20 | 6.74e+20 | 6.75e+20 |
J 344.15191, 5.42140| 0.074 | 0.080    | 5.69e+20 | 5.97e+20 | 1.54e+20 | 1.75e+20 | 7.23e+20 | 7.72e+20 |
J 344.73048, 40.93233| 0.141 | 0.132    | 1.00e+21 | 9.81e+20 | 4.89e+20 | 4.54e+20 | 1.49e+21 | 1.43e+21 |
J 344.88717, 24.91830| 0.166 | 0.164    | 4.91e+20 | 4.80e+20 | 2.97e+20 | 2.87e+20 | 7.88e+20 | 7.67e+20 |
J 345.40096, -59.22251| 0.020 | 0.020    | 1.78e+20 | 1.79e+20 | 1.07e+19 | 1.07e+19 | 1.89e+20 | 1.89e+20 |
J 345.50400, 15.96477| 0.101 | 0.089    | 5.59e+20 | 5.44e+20 | 2.07e+20 | 1.77e+20 | 7.66e+20 | 7.20e+20 |
J 345.76239, -18.69050| 0.033 | 0.032    | 2.16e+20 | 2.17e+20 | 2.31e+19 | 2.30e+19 | 2.39e+20 | 2.40e+20 |
J 345.81506, 8.87392| 0.057 | 0.059    | 4.35e+20 | 4.45e+20 | 8.92e+19 | 9.37e+19 | 5.24e+20 | 5.39e+20 |
J 346.18117, -8.68573| 0.043 | 0.043    | 3.01e+20 | 2.91e+20 | 4.45e+19 | 4.29e+19 | 3.45e+20 | 3.34e+20 |
J 346.23597, 12.32296| 0.130 | 0.125    | 5.36e+20 | 5.29e+20 | 2.55e+20 | 2.42e+20 | 7.91e+20 | 7.70e+20 |
J 346.76214, 4.54918| 0.062 | 0.062    | 5.03e+20 | 5.10e+20 | 1.12e+20 | 1.15e+20 | 6.15e+20 | 6.26e+20 |
J 346.95360, 22.71035| 0.200 | 0.210    | 6.14e+20 | 6.26e+20 | 4.34e+20 | 4.60e+20 | 1.05e+21 | 1.09e+21 |
J 346.98858, 40.27753| 0.122 | 0.119    | 9.58e+20 | 9.56e+20 | 4.15e+20 | 4.05e+20 | 1.37e+21 | 1.36e+21 |
J 349.59845, -42.37042| 0.016 | 0.016    | 1.33e+20 | 1.33e+20 | 6.00e+18 | 6.14e+18 | 1.39e+20 | 1.39e+20 |
J 349.73607, 0.24388| 0.044 | 0.044    | 3.90e+20 | 3.82e+20 | 5.98e+19 | 5.92e+19 | 4.50e+20 | 4.42e+20 |
J 350.15245, 64.51244| 1.531 | 1.563    | 7.65e+21 | 7.77e+21 | 1.44e+21 | 1.44e+21 | 9.09e+21 | 9.21e+21 |
J 350.60197, -6.76056| 0.037 | 0.037    | 2.86e+20 | 2.87e+20 | 3.59e+19 | 3.60e+19 | 3.22e+20 | 3.23e+20 |
J 351.35083, -38.44698| 0.019 | 0.020    | 1.74e+20 | 1.77e+20 | 1.01e+19 | 1.08e+19 | 1.84e+20 | 1.88e+20 |
J 351.47603, 21.88719| 0.062 | 0.062    | 3.86e+20 | 3.90e+20 | 8.47e+19 | 8.59e+19 | 4.71e+20 | 4.76e+20 |
