|name                       |ra        |dec      |time               |obsid      |status   |exposure_a|observation_mode|public_date|issue_flag|end_time           |_Search_Offset                  |
|Mrk1148                    |00 51 52.9|+17 24 38|2018-01-14 14:41:09|60160028002|archived |     22087|SCIENCE         | 2018-01-29|         0|2018-01-15 03:06:09|   1.411 (12.9781786,17.4329205)|
|2MASXJ00520383m2723488     |00 52 03.8|-27 23 48|                   |60161029   |accepted |    -20000|                |           |          |                   |    0.008 (13.015854,-27.396923)|
|PG0052p251                 |00 54 50.8|+25 27 46|2020-08-21 16:06:09|60661001002|archived |     24392|SCIENCE         | 2021-08-31|         0|2020-08-22 04:26:09|    2.139 (13.7171686,25.427508)|
|NVSSJ005712p635942         |00 57 12.9|+63 59 43|                   |60464006   |accepted |    -20000|                |           |          |                   |   0.004 (14.3035108,63.9952504)|
|Mrk352                     |00 59 59.6|+31 52 33|2022-08-04 02:21:09|60160031002|archived |     19225|SCIENCE         | 2022-08-15|         0|2022-08-04 13:21:09|   3.224 (14.9720011,31.8270228)|
|ESO195_IG021_NED03         |01 00 47.8|-47 50 09|2014-08-13 06:51:07|60061344002|archived |     22965|SCIENCE         | 2015-09-17|         0|2014-08-13 17:51:07|   2.887 (15.1456808,-47.867721)|
|2MASXJ01012440m0308399     |01 01 22.1|-03 10 05|2018-01-08 12:06:09|60160033002|archived |     21453|SCIENCE         | 2018-01-29|         0|2018-01-08 23:01:09|   1.527 (15.3516234,-3.1444828)|
|PKS0101m649                |01 03 32.0|-64 41 46|2021-11-27 17:51:09|60160034002|archived |     20983|SCIENCE         | 2021-12-01|         0|2021-11-28 05:01:09|   2.645 (15.8904897,-64.652116)|
|MGC_07_03_007              |01 05 30.8|-42 14 47|2019-11-27 22:26:09|60561039002|archived |     54710|SCIENCE         | 2020-12-06|         0|2019-11-29 01:31:09|   1.949 (16.3617325,-42.216216)|
|ESO243mG026                |01 05 38.0|-47 04 18|                   |60161036   |accepted |    -20000|                |           |          |                   |   0.008 (16.4083363,-47.071687)|
|2MASXJ01053882m1416133     |01 05 38.8|-14 16 13|                   |60160037   |accepted |    -20000|                |           |          |                   |   0.009 (16.4116637,-14.270439)|
|HE0103m3447                |01 05 39.4|-34 32 53|2019-02-07 03:16:09|60160038002|archived |     21986|SCIENCE         | 2019-02-25|         0|2019-02-07 14:36:09|   1.894 (16.4445786,-34.528966)|
