Results from heasarc_numaster: NuSTAR Master Catalog
Coordinate system:  Equatorial
|name                   |ra        |dec      |time               |obsid      |status   |exposure_a|observation_mode|obs_type|processing_date    |public_date|issue_flag|_Search_Offset                |
|Fairall_9              |01 23 45.3|-58 46 46|2014-05-09 23:01:07|60001130003|archived |     93835|SCIENCE         |X13     |2020-10-28 02:19:33| 2015-09-21|         1|     1.578 (SWIFTJ0123.9-5846)|
|Fairall_9              |01 23 31.2|-58 44 51|2014-05-09 02:16:07|60001130002|archived |     49205|SCIENCE         |X13     |2020-10-28 02:45:45| 2015-09-21|         0|     3.971 (SWIFTJ0123.9-5846)|
|Fairall_9              |01 23 34.2|-58 45 31|2014-05-09 01:21:07|60001130001|archived |        49|SCIENCE         |X13     |2020-10-28 03:03:55| 2015-09-21|         0|     3.195 (SWIFTJ0123.9-5846)|
|RHS10                  |01 25 58.1|+15 18 14|                   |60160059   |accepted |    -20000|                |EGS     |                   |           |          |     0.001 (SWIFTJ0126.2+1517)|
|Mrk_359                |01 27 31.4|+19 09 03|2019-01-24 20:26:09|60402021002|archived |     52526|SCIENCE         |N04     |2020-07-28 14:46:49| 2020-02-10|         1|     1.708 (SWIFTJ0127.5+1910)|
|Mrk_359                |01 27 31.0|+19 08 21|2019-02-01 21:36:09|60402021010|archived |     51691|SCIENCE         |N04     |2020-07-28 07:02:33| 2020-02-10|         0|     2.413 (SWIFTJ0127.5+1910)|
|Mrk_359                |01 27 29.0|+19 08 05|2019-01-28 21:06:09|60402021006|archived |     50995|SCIENCE         |N04     |2020-07-28 11:51:46| 2020-02-10|         0|     2.773 (SWIFTJ0127.5+1910)|
|Mrk_359                |01 27 31.1|+19 09 03|2019-01-26 12:41:09|60402021004|archived |     49710|SCIENCE         |N04     |2020-07-28 14:03:30| 2020-02-10|         0|     1.710 (SWIFTJ0127.5+1910)|
|Mrk_359                |01 27 29.9|+19 07 51|2019-01-31 00:36:09|60402021008|archived |     47987|SCIENCE         |N04     |2020-07-28 09:23:58| 2020-02-10|         1|     2.954 (SWIFTJ0127.5+1910)|
|RX_J0128d1m1848        |01 28 02.3|-18 50 34|2023-01-07 05:16:09|80701608002|processed|     57259|SCIENCE         |X20     |2023-01-09 06:44:33|           |         0|     2.299 (SWIFTJ0128.0-1850)|
|MCGm03m04m072          |01 28 03.6|-18 49 53|2015-01-12 06:11:07|60160061002|archived |     21879|SCIENCE         |EGS     |2020-10-15 11:01:44| 2015-09-17|         0|     1.548 (SWIFTJ0128.0-1850)|
|2MASXJ01302127m4601448 |01 30 20.4|-45 59 43|2015-06-03 07:31:07|60161065002|archived |     23079|SCIENCE         |EGS     |2020-10-11 01:01:36| 2015-06-05|         0|     2.031 (SWIFTJ0130.2-4552)|
|2MASXJ01344565m0430134 |01 34 45.6|-04 30 13|                   |60160068   |accepted |    -20000|                |EGS     |                   |           |          |     0.009 (SWIFTJ0134.8-0430)|
|2MASXJ01392400p2924067 |01 39 17.7|+29 23 00|2015-11-25 05:26:08|60260012002|archived |     21329|SCIENCE         |ELS     |2020-10-04 13:31:06| 2015-12-02|         0|     1.761 (SWIFTJ0138.8+2925)|
|2MASXJ01492228m5015073 |01 49 22.3|-50 15 07|                   |60161076   |accepted |    -20000|                |EGS     |                   |           |          |     0.004 (SWIFTJ0149.9-5019)|
|ESO354mG004            |01 51 41.9|-36 11 16|                   |60160077   |accepted |    -20000|                |EGS     |                   |           |          |     0.010 (SWIFTJ0151.3-3610)|
|2MASSiJ0154403m270701  |01 54 40.3|-27 07 00|                   |60160079   |accepted |    -20000|                |EGS     |                   |           |          |     0.015 (SWIFTJ0154.9-2707)|
|1ES0152p022            |01 55 26.8|+02 26 55|2017-11-07 06:51:09|60160080002|archived |     21007|SCIENCE         |EGS     |2020-08-22 01:00:14| 2017-11-18|         1|     1.438 (SWIFTJ0155.4+0228)|
|2MASXJ01571097p4715588 |01 57 10.9|+47 16 00|                   |60161081   |accepted |    -20000|                |EGS     |                   |           |          |     0.008 (SWIFTJ0157.2+4715)|
|2MASXJ02021731p6821460 |02 02 17.3|+68 21 43|                   |60161084   |accepted |    -20000|                |EGS     |                   |           |          |    0.041 (SWIFTJ0202.4+6824A)|
|2MASXJ02013241p6824219 |02 01 32.4|+68 24 22|                   |60161085   |accepted |    -20000|                |EGS     |                   |           |          |    4.891 (SWIFTJ0202.4+6824A)|
|2MASXJ02021731p6821460 |02 02 17.3|+68 21 43|                   |60161084   |accepted |    -20000|                |EGS     |                   |           |          |    4.910 (SWIFTJ0202.4+6824B)|
|2MASXJ02013241p6824219 |02 01 32.4|+68 24 22|                   |60161085   |accepted |    -20000|                |EGS     |                   |           |          |    0.004 (SWIFTJ0202.4+6824B)|
|1RXSJ020301d2m240213   |02 03 00.9|-24 02 12|                   |60160086   |accepted |    -20000|                |EGS     |                   |           |          |     0.019 (SWIFTJ0203.1-2359)|
|Mrk_1018               |02 06 11.2|-00 18 40|2018-03-05 00:01:09|60301022003|archived |     43435|SCIENCE         |N03     |2020-08-15 22:30:28| 2019-03-13|         0|     1.670 (SWIFTJ0206.2-0019)|
|Mrk_1018               |02 06 17.8|-00 15 28|2018-07-17 20:21:09|60301022005|archived |     41842|SCIENCE         |N03     |2020-08-11 19:37:25| 2019-07-28|         0|     2.070 (SWIFTJ0206.2-0019)|
|Mrk_1018               |02 06 13.4|-00 19 09|2018-01-05 13:11:09|60301022002|archived |     27050|SCIENCE         |N03     |2020-08-19 05:53:23| 2019-03-13|         0|     1.788 (SWIFTJ0206.2-0019)|
|Mrk1018                |02 06 13.0|-00 18 36|2016-02-10 22:11:08|60160087002|archived |     21621|SCIENCE         |EGS     |2020-10-03 04:03:56| 2016-02-19|         0|     1.341 (SWIFTJ0206.2-0019)|
|MRK_1018               |02 06 21.5|-00 15 05|2021-08-15 03:46:09|60761011002|archived |     17645|SCIENCE         |N07     |2021-08-16 07:46:35| 2021-08-23|         0|     2.779 (SWIFTJ0206.2-0019)|
|3C59                   |02 07 05.1|+29 29 42|2023-02-02 13:16:09|60160088002|archived |     18911|SCIENCE         |EGS     |2023-02-04 01:32:42| 2023-02-13|         0|     1.238 (SWIFTJ0207.0+2931)|
|MCGp07m05m016          |02 07 38.9|+44 50 59|2015-11-07 15:11:08|60161089002|archived |     21785|SCIENCE         |EGS     |2020-10-04 22:18:30| 2015-11-13|         0|     2.269 (SWIFTJ0208.2+4452)|
|NVSSJ020834m173933     |02 08 34.9|-17 39 33|                   |60160090   |accepted |    -20000|                |EGS     |                   |           |          |     0.021 (SWIFTJ0208.5-1738)|
|LEDA138501             |02 09 34.3|+52 26 33|                   |60160092   |accepted |    -20000|                |EGS     |                   |           |          |     0.487 (SWIFTJ0209.7+5226)|
|Mrk_590                |02 14 35.1|-00 43 43|2019-08-31 08:36:09|80502630002|archived |     68123|SCIENCE         |N05     |2020-07-22 23:26:11| 2021-07-18|         1|     2.314 (SWIFTJ0214.6-0049)|
|MRK_590                |02 14 29.0|-00 48 59|2021-12-22 23:16:09|80602604002|processed|     53311|SCIENCE         |N06     |2021-12-29 15:02:38|           |         0|     3.190 (SWIFTJ0214.6-0049)|
|Mrk590                 |02 14 34.7|-00 47 46|2016-12-02 11:31:08|90201043002|archived |     51001|SCIENCE         |TOO     |2020-09-20 00:46:58| 2016-12-07|         0|     1.791 (SWIFTJ0214.6-0049)|
|Mrk_590                |02 14 33.1|-00 47 51|2020-01-21 11:41:09|80502630004|archived |     50168|SCIENCE         |N05     |2020-07-20 04:05:12| 2021-07-18|         0|     1.850 (SWIFTJ0214.6-0049)|
|Mrk_590                |02 14 28.2|-00 48 21|2021-01-10 12:31:09|80502630006|archived |     41517|SCIENCE         |N05     |2021-01-12 02:27:55| 2021-07-18|         0|     2.704 (SWIFTJ0214.6-0049)|
|MRK_590                |02 14 27.1|-00 48 29|2023-02-06 02:31:09|80602604004|processed|     40977|SCIENCE         |N06     |2023-02-08 07:09:09|           |         0|     2.954 (SWIFTJ0214.6-0049)|
|Mrk590                 |02 14 31.7|-00 47 33|2016-02-05 16:36:08|60160095002|archived |     21205|SCIENCE         |EGS     |2020-10-03 06:12:02| 2016-02-19|         0|     1.623 (SWIFTJ0214.6-0049)|
|Mrk_590                |02 14 41.4|-00 47 27|2018-10-27 09:21:09|80402610002|archived |     21069|SCIENCE         |S14     |2020-08-01 21:58:21| 2019-08-30|         0|     2.431 (SWIFTJ0214.6-0049)|
|MRK_590                |02 14 37.7|-00 43 44|2021-08-18 04:21:09|60761012002|archived |     18649|SCIENCE         |N07     |2021-08-19 04:53:12| 2021-08-23|         0|     2.497 (SWIFTJ0214.6-0049)|
|Mrk_590                |02 14 33.6|-00 46 00|                   |80802652   |accepted |   -150000|                |N08     |                   |           |          |     0.004 (SWIFTJ0214.6-0049)|
|RBS0295                |02 14 29.2|-64 31 35|2017-01-14 13:56:09|60061021002|archived |     23366|SCIENCE         |EGS     |2020-09-19 07:34:49| 2017-01-20|         0|     1.747 (SWIFTJ0214.9-6432)|
|2MASXJ02223523p2508143 |02 22 31.2|+25 07 06|2016-02-02 22:36:08|60161101002|archived |     21710|SCIENCE         |EGS     |2020-10-03 07:22:01| 2016-02-09|         1|     1.468 (SWIFTJ0222.3+2509)|
|1RXSJ022206d0p522112   |02 22 06.2|+52 21 08|                   |60160100   |accepted |    -20000|                |EGS     |                   |           |          |     0.045 (SWIFTJ0222.6+5222)|
|Fairall296             |02 25 09.0|-63 13 26|                   |60160105   |accepted |    -20000|                |EGS     |                   |           |          |     0.005 (SWIFTJ0225.8-6315)|
|AM0224m283             |02 26 26.7|-28 18 58|2017-06-17 18:41:09|60363002002|archived |     22063|SCIENCE         |ELS     |2020-09-01 07:43:15| 2017-06-30|         0|     2.032 (SWIFTJ0226.4-2821)|
|AM0224_283             |02 26 35.3|-28 19 18|2021-08-31 16:01:09|60761013002|archived |     18624|SCIENCE         |N07     |2021-09-02 16:33:14| 2021-09-20|         0|     2.691 (SWIFTJ0226.4-2821)|
|Mrk1040                |02 28 17.1|+31 20 07|2015-08-15 04:56:08|60101002004|archived |     64242|SCIENCE         |X14     |2020-10-08 03:25:08| 2016-09-06|         1|     1.536 (SWIFTJ0228.1+3118)|
|Mrk1040                |02 28 17.9|+31 20 21|2015-08-12 23:41:08|60101002002|archived |     62951|SCIENCE         |X14     |2020-10-08 04:16:52| 2016-09-06|         1|     1.806 (SWIFTJ0228.1+3118)|
|Mrk_1044               |02 30 07.8|-08 58 13|2018-08-03 08:31:09|60401005002|archived |    267078|SCIENCE         |X17     |2020-08-11 10:38:14| 2019-10-21|         0|     1.761 (SWIFTJ0230.2-0900)|
|MRK_1044               |02 30 01.8|-09 03 06|2021-12-22 10:31:09|60761010002|archived |     23964|SCIENCE         |N07     |2021-12-29 15:13:48| 2021-12-27|         0|     3.350 (SWIFTJ0230.2-0900)|
|Mrk1044                |02 30 01.5|-09 01 42|2016-02-08 07:31:08|60160109002|archived |     21684|SCIENCE         |EGS     |2020-10-03 05:08:38| 2016-02-19|         0|     2.061 (SWIFTJ0230.2-0900)|
|NGC_985                |02 34 37.8|-08 47 15|                   |80701620   |accepted |          |                |N07     |                   |           |          |     0.043 (SWIFTJ0234.6-0848)|
|NGC_985                |02 34 46.9|-08 45 01|2021-09-13 13:11:09|60761008002|archived |     21326|SCIENCE         |N07     |2021-09-15 04:28:23| 2021-09-20|         0|     3.177 (SWIFTJ0234.6-0848)|
|NGC0985                |02 34 43.3|-08 46 02|2013-08-11 11:31:07|60061025002|archived |     13895|SCIENCE         |EGS     |2020-11-06 11:00:51| 2015-03-31|         1|     1.845 (SWIFTJ0234.6-0848)|
|ESO416_G002            |02 35 10.5|-29 38 30|2015-01-08 19:41:07|60061340002|archived |     20606|SCIENCE         |EGS     |2020-10-15 12:29:07| 2015-09-17|         0|     2.308 (SWIFTJ0235.3-2934)|
|ESO198m024             |02 38 19.7|-52 11 32|                   |60160115   |accepted |    -20000|                |EGS     |                   |           |          |     0.007 (SWIFTJ0238.2-5213)|
|RBS0339                |02 38 49.0|-40 38 38|                   |60061026   |accepted |    -20000|                |EGS     |                   |           |          |     0.007 (SWIFTJ0238.8-4039)|
