Results from heasarc_xmmmaster: XMM-Newton Master Log & Public Archive
Coordinate system:  Equatorial
|obsid     |status   |name                |ra         |dec        |time               |duration|pi_lname            |pi_fname      |public_date|data_in_heasarc|_Search_Offset             |
|0870840101|processed|Mrk 590             |02 14 33.68|-00 46 00.3|2021-08-11 01:04:37|   10800|Vestergaard         |Marianne      | 2024-03-01|N              |  0.029 (SWIFTJ0214.6-0049)|
|0802200301|archived |AM 0224-283         |02 26 25.95|-28 21 01.0|2017-06-17 16:05:43|   27000|Koss                |Michael       | 2018-06-26|Y              |  0.062 (SWIFTJ0226.4-2821)|
|0760530301|archived |Mrk 1040            |02 28 14.50|+31 18 42.0|2015-08-15 05:26:57|   84600|Reeves              |James         | 2016-09-06|Y              |  0.011 (SWIFTJ0228.1+3118)|
|0760530201|archived |Mrk 1040            |02 28 14.50|+31 18 42.0|2015-08-13 08:16:34|   94000|Reeves              |James         | 2016-09-06|Y              |  0.011 (SWIFTJ0228.1+3118)|
|0554990201|archived |Mrk 1040            |02 28 14.50|+31 18 42.0|2009-02-13 14:30:26|    9129|Miniutti            |Giovanni      | 2010-03-09|Y              |  0.011 (SWIFTJ0228.1+3118)|
|0554990101|archived |Mrk 1040            |02 28 14.50|+31 18 42.0|2009-02-13 17:23:34|   90919|Miniutti            |Giovanni      | 2010-03-09|Y              |  0.011 (SWIFTJ0228.1+3118)|
|0695290201|archived |Mrk 1044            |02 30 05.50|-08 59 53.0|2013-01-27 10:57:59|    4194|Santos-Lleo         |Maria         | 2014-02-18|Y              |  0.006 (SWIFTJ0230.2-0900)|
|0695290101|archived |Mrk 1044            |02 30 05.50|-08 59 53.0|2013-01-27 12:26:44|  133617|Santos-Lleo         |Maria         | 2014-02-18|Y              |  0.006 (SWIFTJ0230.2-0900)|
|0824080301|archived |Mrk 1044            |02 30 05.50|-08 59 53.0|2018-08-03 16:35:52|  140700|Jin                 |Chichuan      | 2019-08-22|Y              |  0.007 (SWIFTJ0230.2-0900)|
|0841820201|archived |Mrk 1044            |02 30 05.50|-08 59 53.0|2019-08-03 16:07:34|  129935|Jin                 |Chichuan      | 2020-08-29|Y              |  0.007 (SWIFTJ0230.2-0900)|
|0824080501|archived |Mrk 1044            |02 30 05.50|-08 59 53.0|2018-08-07 15:44:43|  141400|Jin                 |Chichuan      | 2019-08-22|Y              |  0.007 (SWIFTJ0230.2-0900)|
|0824080401|archived |Mrk 1044            |02 30 05.50|-08 59 53.0|2018-08-05 16:25:30|  140300|Jin                 |Chichuan      | 2019-08-22|Y              |  0.007 (SWIFTJ0230.2-0900)|
|0112600301|archived |MRK 1044            |02 30 05.00|-08 59 53.0|2002-07-23 21:15:01|    8375|Turner              |Martin        | 2003-08-13|Y              |  0.129 (SWIFTJ0230.2-0900)|
|0690870101|archived |Mkn 1048            |02 34 37.88|-08 47 17.0|2013-07-20 17:03:24|   20900|Schartel            |Norbert       | 2014-08-30|Y              |  0.001 (SWIFTJ0234.6-0848)|
|0743830501|archived |NGC 985             |02 34 37.88|-08 47 17.0|2015-01-13 09:35:34|  138900|Ebrero              |Jacobo        | 2016-02-12|Y              |  0.001 (SWIFTJ0234.6-0848)|
|0690870501|archived |Mkn 1048            |02 34 37.88|-08 47 17.0|2013-08-10 21:00:25|  103699|Schartel            |Norbert       | 2014-08-30|Y              |  0.001 (SWIFTJ0234.6-0848)|
|0150470601|archived |NGC 985             |02 34 37.77|-08 47 15.4|2003-07-15 15:28:36|   57948|Santos-Lleo         |Maria         | 2004-09-06|Y              |  0.039 (SWIFTJ0234.6-0848)|
|0743830601|archived |NGC 985             |02 34 38.82|-08 47 11.5|2015-01-25 08:30:56|  122000|Ebrero              |Jacobo        | 2016-02-12|Y              |  0.249 (SWIFTJ0234.6-0848)|
|0103861101|archived |ESO 416- G002       |02 35 13.00|-29 36 18.0|2001-06-28 03:30:28|    8089|Aschenbach          |Bernd         | 2002-10-08|Y              |  0.100 (SWIFTJ0235.3-2934)|
|0067190301|archived |ESO 198-G24         |02 38 19.60|-52 11 33.0|2001-01-24 12:30:24|    9310|PORQUET             |Delphine      | 2003-02-01|Y              |  0.021 (SWIFTJ0238.2-5213)|
|0067190101|archived |ESO 198-G24         |02 38 19.60|-52 11 33.0|2001-01-24 15:13:24|   34114|PORQUET             |Delphine      | 2003-02-01|Y              |  0.021 (SWIFTJ0238.2-5213)|
|0305370101|archived |ESO 198-G24         |02 38 19.60|-52 11 33.9|2006-02-04 17:55:17|  122446|Miniutti            |Giovanni      | 2007-02-27|Y              |  0.031 (SWIFTJ0238.2-5213)|
|0112910101|archived |ESO 198-G24         |02 38 11.00|-52 10 40.0|2000-12-01 00:45:02|   13007|Turner              |Martin        | 2002-03-20|Y              |  1.596 (SWIFTJ0238.2-5213)|
|0503690301|archived |4U0241+61           |02 44 57.70|+62 28 06.5|2008-03-01 02:02:30|    7957|Bregman             |Joel          | 2009-09-29|Y              |  0.001 (SWIFTJ0244.8+6227)|
