SwiftName,xtable
SWIFTJ0308.5m7251,null
SWIFTJ0308.2m2258,null
SWIFTJ0311.1p3241,null
SWIFTJ0311.5m2045,null
SWIFTJ0311.8m7653,null
SWIFTJ0311.9p5032,null
SWIFTJ0312.9p4121,null
SWIFTJ0317.2p0116,null
SWIFTJ0318.7p6828,null
SWIFTJ0319.7p4132,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX003700/r3753984/enhanced/SPITZER_S5_3753984_01_merge.tbl
SWIFTJ0324.8p3410,null
SWIFTJ0325.0m4154,null
SWIFTJ0324.9p4044,null
SWIFTJ0326.0m5633,null
SWIFTJ0328.4m2846,null
SWIFTJ0331.3p0538,null
SWIFTJ0331.4m0510,null
SWIFTJ0333.3p3720,null
SWIFTJ0333.6m3607,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX002600/r8767232/enhanced/SPITZER_S5_8767232_01_merge.tbl
SWIFTJ0334.4m1515,null
SWIFTJ0335.4p1907,null
SWIFTJ0336.6p3217,null
SWIFTJ0342.0m2115,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX008400/r18943744/enhanced/SPITZER_S5_18943744_01_merge.tbl
SWIFTJ0345.2m3935,null
SWIFTJ0347.0m3027,null
SWIFTJ0349.2m1159,null
SWIFTJ0350.1m5019,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX009400/r26496512/enhanced/SPITZER_S5_26496512_01_merge.tbl
SWIFTJ0351.7m4030,null
SWIFTJ0353.4m6830,null
SWIFTJ0353.7p3711,null
SWIFTJ0354.2p0250,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX006100/r4737792/enhanced/SPITZER_S5_4737792_01_merge.tbl
SWIFTJ0357.5m6255,null
SWIFTJ0356.9m4041,null
SWIFTJ0357.6p4153,null
SWIFTJ0359.0m3015A,null
SWIFTJ0359.0m3015B,null
SWIFTJ0359.7p5058,null
SWIFTJ0402.4m1807,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX009500/r26489600/enhanced/SPITZER_S5_26489600_01_merge.tbl
SWIFTJ0404.0m3604,null
SWIFTJ0405.3m3707,null
SWIFTJ0405.5m1307,null
SWIFTJ0407.4p0339,null
SWIFTJ0413.3p1659,null
SWIFTJ0413.8p1112,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX004500/r10826752/enhanced/SPITZER_S5_10826752_01_merge.tbl
SWIFTJ0414.8m0754,null
SWIFTJ0418.3p3800,null
SWIFTJ0420.0m5457,null
SWIFTJ0422.7m5611,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX009400/r26498816/enhanced/SPITZER_S5_26498816_01_merge.tbl
SWIFTJ0423.5p0414,null
SWIFTJ0426.2m5711,null
SWIFTJ0427.6m1201,null
SWIFTJ0428.2m6704B,null
SWIFTJ0429.6m2114,null
SWIFTJ0433.0p0521,https://irsa.ipac.caltech.edu/data/SPITZER/Enhanced/IRS/spectra/IRSX009800/r18505216/enhanced/SPITZER_S5_18505216_01_merge.tbl
SWIFTJ0433.5m5846,null
SWIFTJ0436.3m1022,null
SWIFTJ0437.4m4713,null
